customer_id,signup_date,city,state,age_group,gender,customer_segment,preferred_device
CUS00029,2024-11-01,San Jose,CA,36-45,Female,Regular,Web
CUS00030,2024-03-20,San Jose,CA,36-45,Female,Regular,Web
CUS00031,2026-01-10,Seattle,WA,26-35,Female,Regular,Mobile App
CUS00032,2026-01-14,Boston,MA,36-45,Female,Regular,Mobile App
CUS00033,2024-03-10,Philadelphia,PA,26-35,Male,Regular,Mobile App
CUS00034,2026-03-03,San Diego,CA,26-35,Male,Regular,Mobile App
CUS00035,2025-12-14,San Jose,CA,36-45,Male,Regular,Mobile App
CUS00036,2026-01-09,Chicago,IL,46-55,Female,Regular,Mobile App
CUS00037,2025-10-15,New York,NY,46-55,Female,Premium,Mobile App
CUS00038,2024-06-04,Austin,TX,18-25,Male,Premium,Mobile App
CUS00039,2025-03-01,Chicago,IL,26-35,Female,Regular,Mobile App
CUS00040,2025-01-23,San Diego,CA,26-35,Male,Premium,Web
CUS00041,2024-11-19,Boston,MA,46-55,Female,Regular,Mobile App
CUS00042,2025-02-03,San Diego,CA,26-35,Male,Regular,Web
CUS00043,2024-02-25,San Diego,CA,56+,Male,Regular,Mobile App
CUS00044,2026-01-22,Seattle,WA,46-55,Female,Regular,Mobile App
CUS00045,2024-03-21,Los Angeles,CA,18-25,Male,Regular,Mobile App
CUS00046,2025-04-01,Philadelphia,PA,26-35,Female,New,Mobile App
CUS00047,2025-02-08,New York,NY,46-55,Female,Premium,Web
CUS00048,2024-07-13,Dallas,TX,36-45,Male,Regular,Web
CUS00049,2024-07-11,San Jose,CA,18-25,Female,Regular,Mobile App
CUS00050,2024-10-13,San Diego,CA,46-55,Male,Premium,Mobile App
CUS00051,2025-12-27,Seattle,WA,56+,Female,New,Mobile App
CUS00052,2025-03-31,Los Angeles,CA,46-55,Male,Regular,Web
CUS00053,2024-07-23,San Jose,CA,36-45,Other,Regular,Mobile App
CUS00054,2024-12-28,Phoenix,AZ,46-55,Female,Regular,Mobile App
CUS00055,2024-07-27,San Diego,CA,36-45,Male,New,Mobile App
CUS00056,2024-08-31,San Jose,CA,26-35,Male,Regular,Mobile App
CUS00057,2026-03-11,Philadelphia,PA,26-35,Female,Regular,Mobile App
CUS00058,2025-06-10,New York,NY,26-35,Male,Regular,Web
CUS00059,2025-09-22,Dallas,TX,26-35,Female,New,Web
CUS00060,2024-04-21,Phoenix,AZ,36-45,Male,New,Web
CUS00061,2024-09-13,New York,NY,18-25,Other,Regular,Mobile App
CUS00062,2025-09-07,Phoenix,AZ,26-35,Male,New,Mobile App
CUS00063,2025-02-01,Chicago,IL,18-25,Female,Regular,Mobile App
CUS00064,2024-06-18,Los Angeles,CA,56+,Male,New,Mobile App
CUS00065,2024-09-30,New York,NY,26-35,Female,Regular,Web
CUS00066,2025-10-09,Dallas,TX,36-45,Female,New,Mobile App
CUS00067,2024-06-01,San Diego,CA,26-35,Female,Regular,Mobile App
CUS00068,2025-01-11,Austin,TX,36-45,Male,New,Mobile App
CUS00069,2026-02-06,San Diego,CA,26-35,Male,New,Mobile App
CUS00070,2026-03-12,Chicago,IL,36-45,Female,Regular,Mobile App
CUS00071,2025-08-07,New York,NY,46-55,Female,Regular,Mobile App
CUS00072,2025-03-18,Houston,TX,46-55,Female,Regular,Mobile App
CUS00073,2024-09-19,Phoenix,AZ,18-25,Male,Regular,Mobile App
CUS00074,2026-01-23,New York,NY,26-35,Male,Regular,Mobile App
CUS00075,2024-02-23,Houston,TX,46-55,Male,Regular,Mobile App
CUS00076,2025-10-28,San Diego,CA,26-35,Male,Regular,Web
CUS00077,2025-12-13,San Jose,CA,56+,Male,Regular,Mobile App
CUS00078,2024-03-27,San Jose,CA,56+,Male,Regular,Web
CUS00079,2024-08-19,Austin,TX,26-35,Male,Regular,Mobile App
CUS00080,2025-04-21,New York,NY,56+,Male,Regular,Mobile App
CUS00081,2025-06-26,Los Angeles,CA,18-25,Other,Regular,Mobile App
CUS00082,2025-02-04,Los Angeles,CA,26-35,Male,Regular,Web
CUS00083,2025-08-18,Dallas,TX,26-35,Female,Regular,Mobile App
CUS00084,2025-10-16,Philadelphia,PA,26-35,Female,Regular,Web
CUS00085,2025-03-13,Phoenix,AZ,46-55,Female,Regular,Web
CUS00086,2025-04-20,San Jose,CA,26-35,Male,Regular,Mobile App
CUS00087,2025-09-06,Los Angeles,CA,46-55,Male,Premium,Mobile App
CUS00088,2024-01-15,Philadelphia,PA,46-55,Female,Regular,Mobile App
CUS00089,2025-03-04,New York,NY,36-45,Male,Regular,Mobile App
CUS00090,2025-08-01,Phoenix,AZ,18-25,Male,Regular,Mobile App
CUS00091,2025-04-16,Phoenix,AZ,26-35,Male,Regular,Mobile App
CUS00092,2025-09-01,Seattle,WA,18-25,Female,New,Mobile App
CUS00093,2025-10-17,Chicago,IL,18-25,Male,Premium,Mobile App
CUS00094,2024-03-23,Chicago,IL,26-35,Female,Regular,Mobile App
CUS00095,2024-11-16,San Diego,CA,36-45,Male,Regular,Mobile App
CUS00096,2024-10-07,Philadelphia,PA,36-45,Female,Regular,Mobile App
CUS00097,2024-02-13,Chicago,IL,18-25,Female,New,Mobile App
CUS00098,2024-12-13,Chicago,IL,18-25,Male,Regular,Mobile App
CUS00099,2024-07-16,Philadelphia,PA,26-35,Male,New,Mobile App
CUS00100,2025-06-06,Philadelphia,PA,26-35,Female,New,Web
CUS00101,2025-03-05,New York,NY,46-55,Male,Regular,Mobile App
CUS00102,2025-03-11,Austin,TX,46-55,Male,New,Mobile App
CUS00103,2024-07-26,Austin,TX,46-55,Male,New,Mobile App
CUS00104,2024-11-19,San Diego,CA,56+,Male,Premium,Mobile App
CUS00105,2024-11-01,Austin,TX,26-35,Female,Regular,Mobile App
CUS00106,2025-01-30,Phoenix,AZ,18-25,Female,Regular,Mobile App
CUS00107,2025-01-05,New York,NY,56+,Male,Premium,Mobile App
CUS00108,2024-10-23,Houston,TX,26-35,Female,New,Mobile App
CUS00109,2025-11-12,New York,NY,56+,Male,Regular,Mobile App
CUS00110,2026-01-04,San Jose,CA,18-25,Female,Regular,Mobile App
CUS00111,2025-05-27,Los Angeles,CA,36-45,Female,Regular,Mobile App
CUS00112,2024-03-20,New York,NY,36-45,Female,Premium,Mobile App
CUS00113,2024-09-20,Los Angeles,CA,46-55,Female,Regular,Mobile App
CUS00114,2024-04-12,Houston,TX,26-35,Male,Regular,Mobile App
CUS00115,2025-05-14,Los Angeles,CA,18-25,Female,Premium,Web
CUS00116,2026-03-10,Austin,TX,36-45,Male,Regular,Mobile App
CUS00117,2024-05-10,San Jose,CA,46-55,Male,Premium,Web
CUS00118,2025-01-17,Phoenix,AZ,56+,Male,Regular,Web
CUS00119,2025-12-29,San Diego,CA,46-55,Male,Premium,Mobile App
CUS00120,2024-12-22,Seattle,WA,26-35,Male,Regular,Mobile App
CUS00121,2024-05-28,San Jose,CA,46-55,Male,Regular,Web
CUS00122,2024-01-28,San Jose,CA,26-35,Female,Premium,Mobile App
CUS00123,2025-11-11,Phoenix,AZ,26-35,Female,Regular,Mobile App
CUS00124,2024-11-08,Chicago,IL,36-45,Male,Premium,Mobile App
CUS00125,2025-10-28,San Diego,CA,26-35,Male,New,Mobile App
CUS00126,2025-01-05,Austin,TX,46-55,Female,Regular,Mobile App
CUS00127,2024-02-07,Seattle,WA,26-35,Female,Regular,Web
CUS00128,2025-05-17,San Diego,CA,36-45,Female,Regular,Mobile App
CUS00129,2024-09-30,San Diego,CA,46-55,Female,New,Web
CUS00130,2025-11-02,Los Angeles,CA,18-25,Male,Regular,Mobile App
CUS00131,2024-06-10,San Jose,CA,26-35,Female,Regular,Web
CUS00132,2025-05-11,Dallas,TX,18-25,Female,Regular,Web
CUS00133,2026-02-28,Houston,TX,26-35,Male,Regular,Web
CUS00134,2024-04-03,Phoenix,AZ,18-25,Female,Regular,Mobile App
CUS00135,2025-11-11,Philadelphia,PA,26-35,Female,Premium,Mobile App
CUS00136,2026-02-26,Houston,TX,26-35,Male,New,Web
CUS00137,2025-08-18,Seattle,WA,26-35,Male,Premium,Mobile App
CUS00138,2024-03-24,San Diego,CA,36-45,Female,Regular,Mobile App
CUS00139,2025-05-12,Austin,TX,18-25,Female,Premium,Web
CUS00140,2025-09-14,New York,NY,26-35,Female,New,Mobile App
CUS00141,2025-03-06,San Jose,CA,18-25,Female,Regular,Mobile App
CUS00142,2026-02-18,Philadelphia,PA,36-45,Female,Premium,Web
CUS00143,2024-09-09,Seattle,WA,56+,Female,Regular,Mobile App
CUS00144,2024-06-29,New York,NY,46-55,Female,Regular,Mobile App
CUS00145,2025-07-07,Los Angeles,CA,26-35,Female,Regular,Mobile App
CUS00146,2025-03-14,New York,NY,36-45,Female,Premium,Mobile App
CUS00147,2025-03-31,Philadelphia,PA,36-45,Male,Regular,Mobile App
CUS00148,2026-03-06,Austin,TX,26-35,Male,Regular,Web
CUS00149,2026-02-12,Chicago,IL,36-45,Female,New,Web
CUS00150,2024-06-20,San Jose,CA,26-35,Male,Regular,Web
CUS00151,2025-11-01,Phoenix,AZ,18-25,Female,Regular,Web
CUS00152,2024-07-27,Los Angeles,CA,26-35,Female,Regular,Mobile App
CUS00153,2024-06-07,Boston,MA,26-35,Female,New,Mobile App
CUS00154,2024-01-17,Austin,TX,46-55,Male,Premium,Mobile App
CUS00155,2025-01-29,Philadelphia,PA,36-45,Male,New,Web
CUS00156,2025-04-01,Chicago,IL,18-25,Male,Premium,Mobile App
CUS00157,2024-12-14,Philadelphia,PA,18-25,Other,New,Mobile App
CUS00158,2026-03-20,Seattle,WA,18-25,Female,Premium,Mobile App
CUS00159,2024-05-28,San Jose,CA,26-35,Female,Premium,Mobile App
CUS00160,2024-11-23,Los Angeles,CA,26-35,Female,Regular,Mobile App
CUS00161,2026-03-09,Dallas,TX,26-35,Female,Regular,Mobile App
CUS00162,2025-08-10,Los Angeles,CA,36-45,Male,Regular,Mobile App
CUS00163,2024-07-16,Los Angeles,CA,26-35,Male,Regular,Web
CUS00164,2025-03-20,San Jose,CA,26-35,Female,Regular,Mobile App
CUS00165,2024-11-21,Philadelphia,PA,26-35,Male,Regular,Mobile App
CUS00166,2024-07-30,Los Angeles,CA,26-35,Male,New,Mobile App
CUS00167,2025-08-28,Houston,TX,36-45,Female,Regular,Mobile App
CUS00168,2025-05-16,Los Angeles,CA,36-45,Female,Regular,Web
CUS00169,2026-01-10,Phoenix,AZ,36-45,Male,Premium,Mobile App
CUS00170,2024-02-12,Chicago,IL,26-35,Female,New,Mobile App
CUS00171,2024-01-05,Houston,TX,56+,Female,Premium,Web
CUS00172,2026-03-09,San Diego,CA,18-25,Male,Regular,Mobile App
CUS00173,2025-04-28,Seattle,WA,18-25,Female,New,Mobile App
CUS00174,2025-08-28,Phoenix,AZ,26-35,Female,Regular,Mobile App
CUS00175,2024-11-20,Los Angeles,CA,26-35,Female,Premium,Mobile App
CUS00176,2025-07-20,San Diego,CA,56+,Male,Premium,Web
CUS00177,2025-06-17,Chicago,IL,36-45,Female,Premium,Mobile App
CUS00178,2025-05-27,New York,NY,36-45,Female,Regular,Mobile App
CUS00179,2025-10-30,Los Angeles,CA,26-35,Male,Premium,Mobile App
CUS00180,2024-05-15,Chicago,IL,46-55,Female,Regular,Web
CUS00181,2025-07-09,San Diego,CA,36-45,Male,Regular,Mobile App
CUS00182,2026-02-15,Houston,TX,36-45,Male,Regular,Mobile App
CUS00183,2025-05-15,Dallas,TX,18-25,Male,Regular,Mobile App
CUS00184,2025-12-24,Chicago,IL,56+,Female,Regular,Mobile App
CUS00185,2025-09-18,Austin,TX,26-35,Male,Premium,Mobile App
CUS00186,2024-12-03,Los Angeles,CA,56+,Male,New,Mobile App
CUS00187,2024-05-11,Los Angeles,CA,56+,Male,Regular,Mobile App
CUS00188,2024-11-20,Seattle,WA,46-55,Female,Premium,Mobile App
CUS00189,2024-08-14,San Diego,CA,26-35,Female,Regular,Mobile App
CUS00190,2024-01-18,Dallas,TX,26-35,Male,Premium,Mobile App
CUS00191,2025-05-06,Philadelphia,PA,18-25,Female,Regular,Mobile App
CUS00192,2026-01-11,Philadelphia,PA,46-55,Female,Regular,Mobile App
CUS00193,2026-01-21,Phoenix,AZ,26-35,Male,Premium,Mobile App
CUS00194,2024-06-25,San Jose,CA,36-45,Female,Regular,Mobile App
CUS00195,2024-07-13,Boston,MA,26-35,Male,New,Mobile App
CUS00196,2025-09-07,Seattle,WA,36-45,Male,Regular,Mobile App
CUS00197,2024-11-10,Austin,TX,26-35,Female,Premium,Web
CUS00198,2024-12-06,Dallas,TX,46-55,Other,New,Mobile App
CUS00199,2025-02-06,Los Angeles,CA,18-25,Male,Premium,Web
CUS00200,2025-09-18,Phoenix,AZ,36-45,Female,Regular,Mobile App
CUS00201,2025-12-27,Boston,MA,26-35,Female,Regular,Web
CUS00202,2025-09-14,Dallas,TX,26-35,Female,Regular,Mobile App
CUS00203,2024-04-10,Dallas,TX,26-35,Female,Premium,Mobile App
CUS00204,2024-10-31,Los Angeles,CA,18-25,Male,Regular,Mobile App
CUS00205,2025-06-27,Chicago,IL,36-45,Female,New,Mobile App
CUS00206,2024-06-23,Dallas,TX,46-55,Female,Regular,Mobile App
CUS00207,2025-02-21,Austin,TX,46-55,Female,Premium,Mobile App
CUS00208,2024-03-21,Dallas,TX,36-45,Male,Regular,Mobile App
CUS00209,2025-12-18,Houston,TX,18-25,Female,Regular,Mobile App
CUS00210,2024-08-14,Seattle,WA,46-55,Female,Regular,Mobile App
CUS00211,2025-10-12,Phoenix,AZ,18-25,Female,Regular,Mobile App
CUS00212,2025-01-13,New York,NY,46-55,Female,Regular,Mobile App
CUS00213,2025-04-16,San Diego,CA,56+,Female,Premium,Mobile App
CUS00214,2025-10-30,Phoenix,AZ,46-55,Male,Premium,Web
CUS00215,2024-03-02,San Diego,CA,26-35,Female,Regular,Mobile App
CUS00216,2024-08-13,Chicago,IL,26-35,Female,Regular,Mobile App
CUS00217,2025-10-06,San Jose,CA,26-35,Female,Regular,Mobile App
CUS00218,2026-02-26,San Jose,CA,26-35,Male,Regular,Mobile App
CUS00219,2024-01-30,Philadelphia,PA,36-45,Female,Regular,Mobile App
CUS00220,2025-01-31,Boston,MA,56+,Male,New,Mobile App
CUS00221,2026-02-09,Chicago,IL,26-35,Female,Regular,Mobile App
CUS00222,2024-06-10,Los Angeles,CA,46-55,Female,Regular,Mobile App
CUS00223,2025-05-05,New York,NY,26-35,Male,Regular,Mobile App
CUS00224,2025-02-20,New York,NY,36-45,Male,Regular,Mobile App
CUS00225,2025-04-20,Dallas,TX,26-35,Female,New,Mobile App
CUS00226,2025-07-05,Seattle,WA,18-25,Male,Regular,Web
CUS00227,2024-10-16,New York,NY,18-25,Female,New,Mobile App
CUS00228,2024-11-04,Austin,TX,26-35,Female,Regular,Mobile App
CUS00229,2024-07-02,Chicago,IL,36-45,Female,Premium,Mobile App
CUS00230,2024-04-24,Los Angeles,CA,36-45,Male,Premium,Mobile App
CUS00231,2024-04-08,Los Angeles,CA,26-35,Male,New,Mobile App
CUS00232,2024-08-29,Houston,TX,18-25,Male,Premium,Web
CUS00233,2024-08-27,Philadelphia,PA,36-45,Male,Regular,Mobile App
CUS00234,2024-11-13,Phoenix,AZ,36-45,Female,Regular,Mobile App
CUS00235,2025-06-05,San Diego,CA,26-35,Male,Regular,Mobile App
CUS00236,2026-01-30,San Jose,CA,36-45,Male,New,Web
CUS00237,2025-05-20,New York,NY,18-25,Female,Regular,Mobile App
CUS00238,2024-05-02,San Diego,CA,26-35,Female,Regular,Mobile App
CUS00239,2025-07-27,San Diego,CA,26-35,Female,Regular,Web
CUS00240,2024-10-22,Los Angeles,CA,18-25,Male,Premium,Mobile App
CUS00241,2024-10-27,Dallas,TX,36-45,Male,Regular,Mobile App
CUS00242,2025-05-11,Seattle,WA,26-35,Female,Regular,Mobile App
CUS00243,2024-04-29,Houston,TX,46-55,Male,New,Web
CUS00244,2025-11-11,Chicago,IL,46-55,Female,New,Mobile App
CUS00245,2024-04-02,Dallas,TX,26-35,Male,Premium,Mobile App
CUS00246,2024-01-06,Houston,TX,26-35,Female,New,Mobile App
CUS00247,2025-03-12,Houston,TX,26-35,Female,Regular,Mobile App
CUS00248,2024-02-14,Austin,TX,46-55,Female,New,Mobile App
CUS00249,2026-03-09,Chicago,IL,46-55,Female,Premium,Mobile App
CUS00250,2026-03-24,Austin,TX,36-45,Male,Regular,Web
CUS00251,2025-05-09,Phoenix,AZ,18-25,Female,Premium,Mobile App
CUS00252,2024-10-04,San Diego,CA,18-25,Other,Regular,Mobile App
CUS00253,2024-10-13,Boston,MA,36-45,Female,Premium,Web
CUS00254,2024-01-17,Austin,TX,26-35,Male,Regular,Mobile App
CUS00255,2025-01-19,Boston,MA,26-35,Male,Regular,Web
CUS00256,2026-03-05,New York,NY,18-25,Male,New,Mobile App
CUS00257,2024-10-25,Dallas,TX,26-35,Female,Regular,Mobile App
CUS00258,2024-07-30,San Jose,CA,46-55,Male,New,Mobile App
CUS00259,2026-03-25,Austin,TX,18-25,Female,New,Mobile App
CUS00260,2025-12-16,Phoenix,AZ,36-45,Male,Regular,Mobile App
CUS00261,2024-07-30,Chicago,IL,36-45,Female,Premium,Mobile App
CUS00262,2025-03-12,Philadelphia,PA,18-25,Female,Regular,Mobile App
CUS00263,2026-02-18,Austin,TX,56+,Female,Regular,Mobile App
CUS00264,2024-05-27,Phoenix,AZ,46-55,Male,Regular,Mobile App
CUS00265,2024-03-30,Austin,TX,26-35,Female,Regular,Mobile App
CUS00266,2025-08-17,Dallas,TX,26-35,Other,Premium,Web
CUS00267,2026-02-20,San Jose,CA,46-55,Female,Regular,Web
CUS00268,2024-08-12,Seattle,WA,26-35,Female,Regular,Mobile App
CUS00269,2025-07-19,Chicago,IL,26-35,Other,New,Mobile App
CUS00270,2024-07-01,Seattle,WA,46-55,Female,New,Mobile App
CUS00271,2025-03-06,San Diego,CA,36-45,Female,Premium,Mobile App
CUS00272,2025-01-26,New York,NY,26-35,Female,New,Mobile App
CUS00273,2024-12-21,San Diego,CA,56+,Female,Regular,Mobile App
CUS00274,2024-11-22,Seattle,WA,26-35,Male,Premium,Web
CUS00275,2026-01-18,Houston,TX,26-35,Male,Premium,Mobile App
CUS00276,2025-04-01,Chicago,IL,26-35,Male,Regular,Mobile App
CUS00277,2025-01-04,Houston,TX,56+,Male,Regular,Mobile App
CUS00278,2025-03-08,Los Angeles,CA,36-45,Male,Regular,Web
CUS00279,2025-07-28,New York,NY,36-45,Male,Regular,Mobile App
CUS00280,2024-02-17,Chicago,IL,26-35,Female,Premium,Web
CUS00281,2025-12-13,San Diego,CA,26-35,Male,Regular,Web
CUS00282,2026-03-13,Dallas,TX,46-55,Other,New,Web
CUS00283,2024-01-25,Los Angeles,CA,26-35,Female,New,Mobile App
CUS00284,2024-09-10,Philadelphia,PA,18-25,Male,Regular,Mobile App
CUS00285,2025-02-11,Los Angeles,CA,26-35,Female,New,Mobile App
CUS00286,2026-02-28,Chicago,IL,26-35,Male,Regular,Mobile App
CUS00287,2024-06-19,Philadelphia,PA,36-45,Female,New,Mobile App
CUS00288,2026-03-18,Philadelphia,PA,26-35,Male,New,Mobile App
CUS00289,2024-11-01,Austin,TX,46-55,Male,Premium,Web
CUS00290,2024-06-19,Dallas,TX,56+,Male,Regular,Mobile App
CUS00291,2025-06-19,Austin,TX,36-45,Male,New,Mobile App
CUS00292,2025-08-28,Austin,TX,36-45,Female,New,Mobile App
CUS00293,2025-07-20,San Jose,CA,26-35,Male,New,Mobile App
CUS00294,2025-01-21,Chicago,IL,18-25,Female,Premium,Mobile App
CUS00295,2025-05-23,Los Angeles,CA,56+,Female,Regular,Mobile App
CUS00296,2024-03-12,San Diego,CA,46-55,Female,New,Web
CUS00297,2025-01-04,New York,NY,26-35,Male,Regular,Mobile App
CUS00298,2025-12-11,Austin,TX,46-55,Male,New,Mobile App
CUS00299,2024-05-01,Austin,TX,56+,Male,Regular,Mobile App
CUS00300,2025-05-06,Seattle,WA,26-35,Male,Premium,Mobile App
CUS00301,2024-08-23,Chicago,IL,18-25,Female,Premium,Mobile App
CUS00302,2024-09-26,Seattle,WA,18-25,Male,Regular,Web
CUS00303,2024-04-28,San Jose,CA,18-25,Male,Regular,Mobile App
CUS00304,2025-12-21,Chicago,IL,56+,Female,New,Mobile App
CUS00305,2026-02-15,Houston,TX,18-25,Female,Regular,Mobile App
CUS00306,2026-02-12,Los Angeles,CA,26-35,Female,New,Web
CUS00307,2025-07-16,Dallas,TX,26-35,Female,New,Mobile App
CUS00308,2025-08-20,San Jose,CA,56+,Female,New,Mobile App
CUS00309,2024-08-08,Dallas,TX,26-35,Male,Premium,Web
CUS00310,2024-03-27,Chicago,IL,36-45,Female,Regular,Mobile App
CUS00311,2025-01-21,Chicago,IL,26-35,Male,Regular,Mobile App
CUS00312,2024-10-06,San Jose,CA,26-35,Male,Regular,Mobile App
CUS00313,2024-06-09,Houston,TX,26-35,Male,Premium,Mobile App
CUS00314,2025-10-31,Phoenix,AZ,26-35,Male,Regular,Mobile App
CUS00315,2025-07-08,Seattle,WA,18-25,Female,Regular,Mobile App
CUS00316,2026-02-22,Philadelphia,PA,18-25,Male,Premium,Web
CUS00317,2024-07-28,Dallas,TX,56+,Female,Regular,Mobile App
CUS00318,2024-01-31,Boston,MA,26-35,Female,Premium,Mobile App
CUS00319,2024-12-11,Dallas,TX,36-45,Female,New,Mobile App
CUS00320,2024-01-02,Philadelphia,PA,26-35,Male,Regular,Mobile App
CUS00321,2024-08-06,Los Angeles,CA,36-45,Male,Regular,Mobile App
CUS00322,2025-11-13,Philadelphia,PA,56+,Male,Premium,Mobile App
CUS00323,2025-05-07,Houston,TX,26-35,Female,Regular,Mobile App
CUS00324,2024-06-13,Los Angeles,CA,36-45,Male,Premium,Mobile App
CUS00325,2024-06-10,Philadelphia,PA,26-35,Male,Regular,Mobile App
CUS00326,2025-01-05,Chicago,IL,46-55,Male,New,Web
CUS00327,2024-10-10,Austin,TX,18-25,Female,New,Mobile App
CUS00328,2025-12-07,San Diego,CA,36-45,Female,Regular,Mobile App
CUS00329,2026-01-03,Phoenix,AZ,26-35,Female,New,Mobile App
CUS00330,2024-02-29,Philadelphia,PA,18-25,Male,New,Mobile App
CUS00331,2026-03-19,Philadelphia,PA,26-35,Female,Premium,Mobile App
CUS00332,2025-02-27,Los Angeles,CA,46-55,Female,Premium,Web
CUS00333,2026-02-21,Seattle,WA,18-25,Female,New,Web
CUS00334,2025-05-20,San Diego,CA,36-45,Female,Regular,Mobile App
CUS00335,2024-02-03,San Jose,CA,26-35,Male,Regular,Mobile App
CUS00336,2025-12-12,San Diego,CA,26-35,Female,New,Mobile App
CUS00337,2024-10-20,Houston,TX,26-35,Other,Regular,Web
CUS00338,2024-05-03,San Diego,CA,26-35,Female,Regular,Mobile App
CUS00339,2025-11-18,Philadelphia,PA,46-55,Female,Regular,Mobile App
CUS00340,2025-12-30,Austin,TX,18-25,Female,Regular,Mobile App
CUS00341,2025-07-19,Seattle,WA,26-35,Male,Regular,Mobile App
CUS00342,2025-07-31,Houston,TX,46-55,Male,Regular,Web
CUS00343,2024-09-17,San Diego,CA,36-45,Female,New,Mobile App
CUS00344,2024-05-12,Philadelphia,PA,36-45,Male,Regular,Mobile App
CUS00345,2024-11-27,Boston,MA,26-35,Male,Regular,Mobile App
CUS00346,2024-08-20,Philadelphia,PA,26-35,Male,Premium,Mobile App
CUS00347,2024-09-23,Philadelphia,PA,36-45,Male,Premium,Web
CUS00348,2024-06-07,Philadelphia,PA,56+,Female,New,Mobile App
CUS00349,2025-12-07,New York,NY,46-55,Male,Premium,Mobile App
CUS00350,2024-04-21,New York,NY,46-55,Male,Regular,Mobile App
CUS00351,2025-03-07,Boston,MA,26-35,Female,Regular,Mobile App
CUS00352,2024-01-31,Dallas,TX,56+,Male,Regular,Mobile App
CUS00353,2025-05-06,New York,NY,26-35,Male,New,Mobile App
CUS00354,2024-03-31,Seattle,WA,36-45,Male,Regular,Web
CUS00355,2024-12-16,Dallas,TX,36-45,Female,Regular,Web
CUS00356,2025-05-30,Austin,TX,26-35,Male,Regular,Mobile App
CUS00357,2026-02-13,Houston,TX,26-35,Female,New,Mobile App
CUS00358,2024-11-30,New York,NY,26-35,Female,Premium,Web
CUS00359,2025-11-21,Boston,MA,26-35,Male,Regular,Mobile App
CUS00360,2025-12-04,Dallas,TX,26-35,Other,Regular,Mobile App
CUS00361,2025-11-28,San Jose,CA,26-35,Male,Regular,Web
CUS00362,2024-05-24,San Diego,CA,18-25,Male,New,Web
CUS00363,2025-11-04,Boston,MA,26-35,Female,New,Mobile App
CUS00364,2024-08-26,San Jose,CA,18-25,Male,Regular,Mobile App
CUS00365,2024-01-16,Houston,TX,18-25,Female,Regular,Mobile App
CUS00366,2025-01-12,Philadelphia,PA,18-25,Female,Premium,Mobile App
CUS00367,2025-08-11,Chicago,IL,26-35,Female,Premium,Mobile App
CUS00368,2025-01-12,Philadelphia,PA,18-25,Male,New,Mobile App
CUS00369,2025-03-13,Philadelphia,PA,26-35,Female,Premium,Web
CUS00370,2026-03-02,Phoenix,AZ,26-35,Male,Regular,Mobile App
CUS00371,2024-02-28,Los Angeles,CA,46-55,Female,Regular,Mobile App
CUS00372,2025-08-19,Los Angeles,CA,56+,Male,Regular,Web
CUS00373,2025-05-20,Austin,TX,26-35,Female,Premium,Web
CUS00374,2024-12-02,San Jose,CA,36-45,Female,Premium,Mobile App
CUS00375,2024-09-26,Los Angeles,CA,18-25,Female,Premium,Web
CUS00376,2025-04-04,Austin,TX,46-55,Female,Regular,Mobile App
