fulfillment_id,transaction_id,est_delivery_min,real_delivery_min,late_minutes,late_status,accuracy_status,user_rating
FLV000159,TRD000159,76,101,25,Late,Accurate,2
FLV000160,TRD000160,51,54,3,Late,Accurate,3
FLV000161,TRD000161,86,76,0,Prompt,Accurate,4
FLV000162,TRD000162,19,21,2,Late,Accurate,3
FLV000163,TRD000163,58,54,0,Prompt,Accurate,4
FLV000164,TRD000164,72,62,0,Prompt,Accurate,4
FLV000165,TRD000165,53,60,7,Late,Accurate,4
FLV000166,TRD000166,37,30,0,Prompt,Accurate,5
FLV000167,TRD000167,54,52,0,Prompt,Accurate,3
FLV000168,TRD000168,47,46,0,Prompt,Accurate,4
FLV000169,TRD000169,48,45,0,Prompt,Accurate,5
FLV000170,TRD000170,56,54,0,Prompt,Accurate,5
FLV000171,TRD000171,57,60,3,Late,Accurate,5
FLV000172,TRD000172,55,98,43,Late,Accurate,4
FLV000173,TRD000173,35,30,0,Prompt,Accurate,4
FLV000174,TRD000174,88,86,0,Prompt,Accurate,4
FLV000175,TRD000175,53,65,12,Late,Accurate,2
FLV000176,TRD000176,41,45,4,Late,Accurate,5
FLV000177,TRD000177,39,36,0,Prompt,Accurate,5
FLV000178,TRD000178,44,37,0,Prompt,Accurate,5
FLV000179,TRD000179,60,53,0,Prompt,Accurate,5
FLV000180,TRD000180,31,50,19,Late,Accurate,2
FLV000181,TRD000181,56,108,52,Late,Accurate,2
FLV000182,TRD000182,36,85,49,Late,Accurate,4
FLV000183,TRD000183,47,48,1,Late,Accurate,5
FLV000184,TRD000184,90,88,0,Prompt,Accurate,5
FLV000185,TRD000185,41,34,0,Prompt,Accurate,5
FLV000186,TRD000186,31,49,18,Late,Accurate,2
FLV000187,TRD000187,50,46,0,Prompt,Incomplete,5
FLV000188,TRD000188,42,65,23,Late,Accurate,4
FLV000189,TRD000189,93,79,0,Prompt,Accurate,5
FLV000190,TRD000190,16,15,0,Prompt,Incorrect,4
FLV000191,TRD000191,94,90,0,Prompt,Incomplete,4
FLV000192,TRD000192,45,44,0,Prompt,Accurate,5
FLV000193,TRD000193,27,47,20,Late,Accurate,4
FLV000194,TRD000194,64,57,0,Prompt,Accurate,5
FLV000195,TRD000195,52,47,0,Prompt,Accurate,4
FLV000196,TRD000196,58,68,10,Late,Accurate,2
FLV000197,TRD000197,80,82,2,Late,Accurate,5
FLV000198,TRD000198,15,10,0,Prompt,Accurate,4
FLV000199,TRD000199,37,64,27,Late,Accurate,5
FLV000200,TRD000200,48,58,10,Late,Accurate,3
FLV000201,TRD000201,45,54,9,Late,Accurate,2
FLV000202,TRD000202,19,14,0,Prompt,Accurate,5
FLV000203,TRD000203,67,95,28,Late,Accurate,3
FLV000204,TRD000204,56,57,1,Late,Accurate,4
FLV000205,TRD000205,64,56,0,Prompt,Accurate,5
FLV000206,TRD000206,28,31,3,Late,Accurate,5
FLV000207,TRD000207,85,79,0,Prompt,Accurate,5
FLV000208,TRD000208,62,81,19,Late,Accurate,3
FLV000209,TRD000209,73,76,3,Late,Accurate,5
FLV000210,TRD000210,28,27,0,Prompt,Accurate,5
FLV000211,TRD000211,52,49,0,Prompt,Accurate,5
FLV000212,TRD000212,46,43,0,Prompt,Accurate,4
FLV000213,TRD000213,52,56,4,Late,Incomplete,5
FLV000214,TRD000214,21,18,0,Prompt,Accurate,5
FLV000215,TRD000215,67,56,0,Prompt,Accurate,5
FLV000216,TRD000216,25,17,0,Prompt,Accurate,5
FLV000217,TRD000217,59,61,2,Late,Accurate,5
FLV000218,TRD000218,85,83,0,Prompt,Accurate,5
FLV000219,TRD000219,43,37,0,Prompt,Accurate,4
FLV000220,TRD000220,56,75,19,Late,Accurate,4
FLV000221,TRD000221,38,42,4,Late,Accurate,3
FLV000222,TRD000222,50,52,2,Late,Accurate,4
FLV000223,TRD000223,57,59,2,Late,Accurate,5
FLV000224,TRD000224,67,71,4,Late,Accurate,4
FLV000225,TRD000225,51,51,0,Prompt,Accurate,5
FLV000226,TRD000226,86,80,0,Prompt,Accurate,5
FLV000227,TRD000227,51,42,0,Prompt,Accurate,5
FLV000228,TRD000228,42,46,4,Late,Accurate,5
FLV000229,TRD000229,81,82,1,Late,Accurate,5
FLV000230,TRD000230,35,31,0,Prompt,Accurate,5
FLV000231,TRD000231,16,42,26,Late,Accurate,4
FLV000232,TRD000232,33,38,5,Late,Accurate,5
FLV000233,TRD000233,51,90,39,Late,Accurate,3
FLV000234,TRD000234,35,36,1,Late,Accurate,5
FLV000235,TRD000235,72,72,0,Prompt,Accurate,5
FLV000236,TRD000236,40,43,3,Late,Accurate,5
FLV000237,TRD000237,61,55,0,Prompt,Accurate,5
FLV000238,TRD000238,31,34,3,Late,Accurate,5
FLV000239,TRD000239,85,77,0,Prompt,Accurate,4
FLV000240,TRD000240,56,46,0,Prompt,Accurate,5
FLV000241,TRD000241,52,63,11,Late,Accurate,3
FLV000242,TRD000242,37,33,0,Prompt,Accurate,4
FLV000243,TRD000243,38,35,0,Prompt,Accurate,4
FLV000244,TRD000244,34,53,19,Late,Accurate,3
FLV000245,TRD000245,62,61,0,Prompt,Accurate,4
FLV000246,TRD000246,41,47,6,Late,Accurate,2
FLV000247,TRD000247,50,55,5,Late,Accurate,4
FLV000248,TRD000248,51,48,0,Prompt,Accurate,4
FLV000249,TRD000249,72,76,4,Late,Accurate,4
FLV000250,TRD000250,41,49,8,Late,Incomplete,5
FLV000251,TRD000251,51,71,20,Late,Accurate,3
FLV000252,TRD000252,38,42,4,Late,Accurate,5
FLV000253,TRD000253,32,35,3,Late,Accurate,3
FLV000254,TRD000254,44,45,1,Late,Accurate,4
FLV000255,TRD000255,53,50,0,Prompt,Accurate,4
FLV000256,TRD000256,33,59,26,Late,Accurate,1
FLV000257,TRD000257,53,61,8,Late,Accurate,4
FLV000258,TRD000258,45,45,0,Prompt,Accurate,3
FLV000259,TRD000259,29,31,2,Late,Accurate,3
FLV000260,TRD000260,57,56,0,Prompt,Accurate,3
FLV000261,TRD000261,55,62,7,Late,Accurate,1
FLV000262,TRD000262,72,68,0,Prompt,Accurate,3
FLV000263,TRD000263,28,25,0,Prompt,Accurate,2
FLV000264,TRD000264,31,26,0,Prompt,Accurate,3
FLV000265,TRD000265,60,51,0,Prompt,Accurate,3
FLV000266,TRD000266,25,23,0,Prompt,Accurate,4
FLV000267,TRD000267,47,69,22,Late,Accurate,4
FLV000268,TRD000268,22,19,0,Prompt,Accurate,5
FLV000269,TRD000269,38,54,16,Late,Accurate,5
FLV000270,TRD000270,39,28,0,Prompt,Accurate,5
FLV000271,TRD000271,48,42,0,Prompt,Accurate,4
FLV000272,TRD000272,44,34,0,Prompt,Accurate,5
FLV000273,TRD000273,91,79,0,Prompt,Accurate,3
FLV000274,TRD000274,31,33,2,Late,Accurate,5
FLV000275,TRD000275,65,66,1,Late,Accurate,5
FLV000276,TRD000276,15,32,17,Late,Accurate,3
FLV000277,TRD000277,37,38,1,Late,Accurate,4
FLV000278,TRD000278,65,67,2,Late,Incomplete,3
FLV000279,TRD000279,58,65,7,Late,Accurate,2
FLV000280,TRD000280,31,18,0,Prompt,Accurate,3
FLV000281,TRD000281,58,80,22,Late,Accurate,3
FLV000282,TRD000282,90,86,0,Prompt,Accurate,4
FLV000283,TRD000283,23,56,33,Late,Accurate,1
FLV000284,TRD000284,51,60,9,Late,Accurate,4
FLV000285,TRD000285,40,42,2,Late,Accurate,4
FLV000286,TRD000286,34,28,0,Prompt,Accurate,5
FLV000287,TRD000287,41,48,7,Late,Accurate,3
FLV000288,TRD000288,37,29,0,Prompt,Accurate,3
FLV000289,TRD000289,47,49,2,Late,Accurate,4
FLV000290,TRD000290,38,31,0,Prompt,Accurate,4
FLV000291,TRD000291,23,47,24,Late,Accurate,4
FLV000292,TRD000292,44,51,7,Late,Accurate,5
FLV000293,TRD000293,55,55,0,Prompt,Accurate,4
FLV000294,TRD000294,25,35,10,Late,Accurate,4
FLV000295,TRD000295,48,48,0,Prompt,Incomplete,4
FLV000296,TRD000296,67,70,3,Late,Accurate,4
FLV000297,TRD000297,50,45,0,Prompt,Accurate,3
FLV000298,TRD000298,16,11,0,Prompt,Accurate,3
FLV000299,TRD000299,46,55,9,Late,Accurate,3
FLV000300,TRD000300,33,35,2,Late,Accurate,2
FLV000301,TRD000301,49,52,3,Late,Accurate,3
FLV000302,TRD000302,34,38,4,Late,Accurate,1
FLV000303,TRD000303,34,32,0,Prompt,Accurate,4
FLV000304,TRD000304,24,18,0,Prompt,Accurate,4
FLV000305,TRD000305,56,74,18,Late,Accurate,1
FLV000306,TRD000306,68,72,4,Late,Accurate,3
FLV000307,TRD000307,47,48,1,Late,Accurate,4
FLV000308,TRD000308,44,64,20,Late,Accurate,1
FLV000309,TRD000309,34,59,25,Late,Accurate,2
FLV000310,TRD000310,46,50,4,Late,Accurate,2
FLV000311,TRD000311,51,51,0,Prompt,Accurate,3
FLV000312,TRD000312,32,28,0,Prompt,Accurate,4
FLV000313,TRD000313,29,52,23,Late,Accurate,2
FLV000314,TRD000314,52,52,0,Prompt,Accurate,5
FLV000315,TRD000315,46,50,4,Late,Accurate,5
FLV000316,TRD000316,33,44,11,Late,Accurate,2
FLV000317,TRD000317,50,68,18,Late,Accurate,3
FLV000318,TRD000318,29,19,0,Prompt,Accurate,5
FLV000319,TRD000319,54,55,1,Late,Accurate,5
FLV000320,TRD000320,59,80,21,Late,Accurate,3
FLV000321,TRD000321,91,89,0,Prompt,Accurate,5
FLV000322,TRD000322,44,52,8,Late,Incorrect,3
FLV000323,TRD000323,31,43,12,Late,Accurate,2
FLV000324,TRD000324,29,32,3,Late,Incorrect,3
FLV000325,TRD000325,49,55,6,Late,Accurate,4
FLV000326,TRD000326,44,38,0,Prompt,Accurate,5
FLV000327,TRD000327,42,43,1,Late,Accurate,5
FLV000328,TRD000328,42,31,0,Prompt,Accurate,5
FLV000329,TRD000329,50,59,9,Late,Accurate,4
FLV000330,TRD000330,32,56,24,Late,Accurate,3
FLV000331,TRD000331,39,29,0,Prompt,Accurate,5
FLV000332,TRD000332,37,39,2,Late,Accurate,5
FLV000333,TRD000333,37,39,2,Late,Accurate,5
FLV000334,TRD000334,45,47,2,Late,Accurate,5
FLV000335,TRD000335,43,73,30,Late,Accurate,3
FLV000336,TRD000336,46,51,5,Late,Accurate,4
FLV000337,TRD000337,47,64,17,Late,Accurate,4
FLV000338,TRD000338,70,67,0,Prompt,Accurate,5
FLV000339,TRD000339,55,47,0,Prompt,Accurate,4
FLV000340,TRD000340,53,55,2,Late,Accurate,4
FLV000341,TRD000341,77,79,2,Late,Accurate,5
FLV000342,TRD000342,50,48,0,Prompt,Incorrect,5
FLV000343,TRD000343,36,37,1,Late,Accurate,4
FLV000344,TRD000344,52,48,0,Prompt,Accurate,5
FLV000345,TRD000345,15,15,0,Prompt,Accurate,5
FLV000346,TRD000346,69,78,9,Late,Incorrect,3
FLV000347,TRD000347,75,62,0,Prompt,Accurate,3
FLV000348,TRD000348,31,37,6,Late,Incomplete,4
FLV000349,TRD000349,36,29,0,Prompt,Accurate,5
FLV000350,TRD000350,40,40,0,Prompt,Accurate,5
FLV000351,TRD000351,32,68,36,Late,Accurate,4
FLV000352,TRD000352,55,77,22,Late,Accurate,2
FLV000353,TRD000353,71,63,0,Prompt,Accurate,5
FLV000354,TRD000354,41,38,0,Prompt,Accurate,5
FLV000355,TRD000355,54,51,0,Prompt,Accurate,5
FLV000356,TRD000356,75,72,0,Prompt,Accurate,5
FLV000357,TRD000357,45,36,0,Prompt,Accurate,5
FLV000358,TRD000358,35,33,0,Prompt,Accurate,5
FLV000359,TRD000359,21,30,9,Late,Accurate,4
FLV000360,TRD000360,32,23,0,Prompt,Accurate,5
FLV000361,TRD000361,94,88,0,Prompt,Accurate,4
FLV000362,TRD000362,21,22,1,Late,Accurate,4
FLV000363,TRD000363,62,52,0,Prompt,Accurate,5
FLV000364,TRD000364,57,55,0,Prompt,Accurate,4
FLV000365,TRD000365,43,43,0,Prompt,Incomplete,4
FLV000366,TRD000366,47,84,37,Late,Accurate,2
FLV000367,TRD000367,47,86,39,Late,Accurate,3
FLV000368,TRD000368,35,43,8,Late,Accurate,4
FLV000369,TRD000369,45,35,0,Prompt,Accurate,4
FLV000370,TRD000370,43,48,5,Late,Accurate,4
FLV000371,TRD000371,27,24,0,Prompt,Accurate,3
FLV000372,TRD000372,67,66,0,Prompt,Accurate,4
FLV000373,TRD000373,55,52,0,Prompt,Accurate,3
FLV000374,TRD000374,18,18,0,Prompt,Accurate,5
FLV000375,TRD000375,39,40,1,Late,Accurate,4
FLV000376,TRD000376,17,15,0,Prompt,Accurate,5
FLV000377,TRD000377,66,67,1,Late,Accurate,3
FLV000378,TRD000378,54,48,0,Prompt,Accurate,4
FLV000379,TRD000379,15,16,1,Late,Accurate,5
FLV000380,TRD000380,49,37,0,Prompt,Accurate,4
FLV000381,TRD000381,45,38,0,Prompt,Accurate,5
FLV000382,TRD000382,37,40,3,Late,Accurate,5
FLV000383,TRD000383,54,51,0,Prompt,Accurate,3
FLV000384,TRD000384,48,42,0,Prompt,Accurate,5
FLV000385,TRD000385,34,28,0,Prompt,Accurate,4
FLV000386,TRD000386,44,92,48,Late,Accurate,2
FLV000387,TRD000387,24,28,4,Late,Accurate,5
FLV000388,TRD000388,73,66,0,Prompt,Accurate,4
FLV000389,TRD000389,33,27,0,Prompt,Accurate,5
FLV000390,TRD000390,47,62,15,Late,Accurate,3
FLV000391,TRD000391,61,57,0,Prompt,Accurate,3
FLV000392,TRD000392,28,26,0,Prompt,Accurate,3
FLV000393,TRD000393,50,82,32,Late,Accurate,4
FLV000394,TRD000394,27,49,22,Late,Accurate,3
FLV000395,TRD000395,41,37,0,Prompt,Accurate,5
FLV000396,TRD000396,58,60,2,Late,Accurate,3
FLV000397,TRD000397,16,14,0,Prompt,Accurate,4
FLV000398,TRD000398,25,21,0,Prompt,Accurate,4
FLV000399,TRD000399,68,76,8,Late,Accurate,4
FLV000400,TRD000400,24,26,2,Late,Accurate,3
FLV000401,TRD000401,26,34,8,Late,Accurate,5
FLV000402,TRD000402,53,51,0,Prompt,Accurate,5
FLV000403,TRD000403,21,46,25,Late,Accurate,3
FLV000404,TRD000404,50,44,0,Prompt,Accurate,5
FLV000405,TRD000405,29,47,18,Late,Accurate,3
FLV000406,TRD000406,31,30,0,Prompt,Accurate,4
FLV000407,TRD000407,29,23,0,Prompt,Accurate,4
FLV000408,TRD000408,26,23,0,Prompt,Accurate,5
FLV000409,TRD000409,60,49,0,Prompt,Accurate,5
FLV000410,TRD000410,78,68,0,Prompt,Accurate,5
FLV000411,TRD000411,38,37,0,Prompt,Accurate,5
FLV000412,TRD000412,27,23,0,Prompt,Accurate,5
FLV000413,TRD000413,80,95,15,Late,Accurate,3
FLV000414,TRD000414,28,30,2,Late,Accurate,5
FLV000415,TRD000415,41,37,0,Prompt,Accurate,5
FLV000416,TRD000416,37,28,0,Prompt,Accurate,4
FLV000417,TRD000417,51,45,0,Prompt,Accurate,5
FLV000418,TRD000418,57,52,0,Prompt,Accurate,4
FLV000419,TRD000419,51,50,0,Prompt,Accurate,4
FLV000420,TRD000420,93,91,0,Prompt,Accurate,4
FLV000421,TRD000421,33,32,0,Prompt,Accurate,5
FLV000422,TRD000422,16,19,3,Late,Accurate,5
FLV000423,TRD000423,49,47,0,Prompt,Accurate,4
FLV000424,TRD000424,56,46,0,Prompt,Accurate,5
FLV000425,TRD000425,42,49,7,Late,Accurate,5
FLV000426,TRD000426,35,39,4,Late,Accurate,5
FLV000427,TRD000427,59,50,0,Prompt,Accurate,5
FLV000428,TRD000428,50,49,0,Prompt,Incomplete,4
FLV000429,TRD000429,74,69,0,Prompt,Accurate,5
FLV000430,TRD000430,56,58,2,Late,Accurate,5
FLV000431,TRD000431,23,20,0,Prompt,Accurate,5
FLV000432,TRD000432,53,44,0,Prompt,Accurate,5
FLV000433,TRD000433,53,57,4,Late,Accurate,4
FLV000434,TRD000434,33,104,71,Late,Accurate,3
FLV000435,TRD000435,60,51,0,Prompt,Accurate,5
FLV000436,TRD000436,59,84,25,Late,Accurate,3
FLV000437,TRD000437,64,55,0,Prompt,Accurate,4
FLV000438,TRD000438,58,59,1,Late,Accurate,5
FLV000439,TRD000439,31,18,0,Prompt,Accurate,4
FLV000440,TRD000440,40,67,27,Late,Accurate,3
FLV000441,TRD000441,50,49,0,Prompt,Accurate,5
FLV000442,TRD000442,46,47,1,Late,Accurate,4
FLV000443,TRD000443,51,53,2,Late,Accurate,4
FLV000444,TRD000444,47,36,0,Prompt,Accurate,4
FLV000445,TRD000445,41,53,12,Late,Accurate,3
FLV000446,TRD000446,61,53,0,Prompt,Accurate,5
FLV000447,TRD000447,55,58,3,Late,Accurate,5
FLV000448,TRD000448,45,55,10,Late,Accurate,4
FLV000449,TRD000449,56,56,0,Prompt,Accurate,4
FLV000450,TRD000450,53,44,0,Prompt,Accurate,5
FLV000451,TRD000451,22,21,0,Prompt,Accurate,5
FLV000452,TRD000452,70,66,0,Prompt,Accurate,5
FLV000453,TRD000453,48,41,0,Prompt,Accurate,5
FLV000454,TRD000454,55,54,0,Prompt,Accurate,4
FLV000455,TRD000455,81,80,0,Prompt,Accurate,5
FLV000456,TRD000456,16,22,6,Late,Incorrect,5
FLV000457,TRD000457,45,38,0,Prompt,Accurate,4
FLV000458,TRD000458,55,52,0,Prompt,Accurate,4
FLV000459,TRD000459,61,60,0,Prompt,Accurate,5
FLV000460,TRD000460,59,55,0,Prompt,Accurate,5
FLV000461,TRD000461,34,40,6,Late,Incomplete,4
FLV000462,TRD000462,47,63,16,Late,Accurate,2
FLV000463,TRD000463,51,50,0,Prompt,Accurate,5
FLV000464,TRD000464,54,56,2,Late,Accurate,3
FLV000465,TRD000465,33,29,0,Prompt,Accurate,5
FLV000466,TRD000466,28,27,0,Prompt,Accurate,5
FLV000467,TRD000467,43,34,0,Prompt,Accurate,5
FLV000468,TRD000468,37,48,11,Late,Accurate,2
FLV000469,TRD000469,41,39,0,Prompt,Accurate,5
FLV000470,TRD000470,55,53,0,Prompt,Incomplete,5
FLV000471,TRD000471,46,50,4,Late,Incomplete,5
FLV000472,TRD000472,85,89,4,Late,Accurate,4
FLV000473,TRD000473,71,87,16,Late,Accurate,3
FLV000474,TRD000474,24,27,3,Late,Accurate,5
FLV000475,TRD000475,35,29,0,Prompt,Accurate,5
FLV000476,TRD000476,86,83,0,Prompt,Accurate,5
