delivery_id,order_id,promised_time_min,actual_time_min,delay_minutes,delivery_status,order_accuracy,customer_rating
DLV000169,ORD000169,46,41,0,On-Time,Correct,5
DLV000170,ORD000170,53,52,0,On-Time,Correct,5
DLV000171,ORD000171,60,59,0,On-Time,Correct,5
DLV000172,ORD000172,59,93,34,Delayed,Correct,4
DLV000173,ORD000173,38,35,0,On-Time,Correct,4
DLV000174,ORD000174,88,88,0,On-Time,Correct,4
DLV000175,ORD000175,48,60,12,Delayed,Correct,3
DLV000176,ORD000176,46,43,0,On-Time,Correct,4
DLV000177,ORD000177,43,41,0,On-Time,Correct,5
DLV000178,ORD000178,42,41,0,On-Time,Correct,5
DLV000179,ORD000179,58,56,0,On-Time,Correct,5
DLV000180,ORD000180,31,46,15,Delayed,Correct,3
DLV000181,ORD000181,54,105,51,Delayed,Correct,3
DLV000182,ORD000182,34,88,54,Delayed,Correct,4
DLV000183,ORD000183,48,45,0,On-Time,Correct,5
DLV000184,ORD000184,85,83,0,On-Time,Correct,5
DLV000185,ORD000185,43,39,0,On-Time,Correct,5
DLV000186,ORD000186,30,52,22,Delayed,Correct,2
DLV000187,ORD000187,46,44,0,On-Time,Partial,5
DLV000188,ORD000188,47,65,18,Delayed,Correct,4
DLV000189,ORD000189,88,84,0,On-Time,Correct,5
DLV000190,ORD000190,15,14,0,On-Time,Wrong,4
DLV000191,ORD000191,89,89,0,On-Time,Partial,4
DLV000192,ORD000192,43,40,0,On-Time,Correct,5
DLV000193,ORD000193,30,44,14,Delayed,Correct,4
DLV000194,ORD000194,59,55,0,On-Time,Correct,5
DLV000195,ORD000195,47,42,0,On-Time,Correct,4
DLV000196,ORD000196,56,67,11,Delayed,Correct,2
DLV000197,ORD000197,80,80,0,On-Time,Correct,5
DLV000198,ORD000198,18,14,0,On-Time,Correct,5
DLV000199,ORD000199,37,61,24,Delayed,Correct,4
DLV000200,ORD000200,48,60,12,Delayed,Correct,3
DLV000201,ORD000201,47,59,12,Delayed,Correct,3
DLV000202,ORD000202,20,16,0,On-Time,Correct,5
DLV000203,ORD000203,68,92,24,Delayed,Correct,3
DLV000204,ORD000204,56,56,0,On-Time,Correct,4
DLV000205,ORD000205,64,61,0,On-Time,Correct,5
DLV000206,ORD000206,31,27,0,On-Time,Correct,5
DLV000207,ORD000207,80,78,0,On-Time,Correct,5
DLV000208,ORD000208,57,78,21,Delayed,Correct,3
DLV000209,ORD000209,77,77,0,On-Time,Correct,5
DLV000210,ORD000210,33,31,0,On-Time,Correct,5
DLV000211,ORD000211,57,54,0,On-Time,Correct,5
DLV000212,ORD000212,44,41,0,On-Time,Correct,4
DLV000213,ORD000213,54,54,0,On-Time,Partial,5
DLV000214,ORD000214,22,21,0,On-Time,Correct,5
DLV000215,ORD000215,65,61,0,On-Time,Correct,5
DLV000216,ORD000216,21,17,0,On-Time,Correct,5
DLV000217,ORD000217,58,57,0,On-Time,Correct,5
DLV000218,ORD000218,87,83,0,On-Time,Correct,5
DLV000219,ORD000219,42,42,0,On-Time,Correct,4
DLV000220,ORD000220,59,75,16,Delayed,Correct,3
DLV000221,ORD000221,38,44,6,Delayed,Correct,3
DLV000222,ORD000222,54,51,0,On-Time,Correct,4
DLV000223,ORD000223,57,54,0,On-Time,Correct,5
DLV000224,ORD000224,67,76,9,Delayed,Correct,5
DLV000225,ORD000225,54,50,0,On-Time,Correct,5
DLV000226,ORD000226,82,82,0,On-Time,Correct,5
DLV000227,ORD000227,48,43,0,On-Time,Correct,5
DLV000228,ORD000228,43,42,0,On-Time,Correct,5
DLV000229,ORD000229,82,80,0,On-Time,Correct,5
DLV000230,ORD000230,40,35,0,On-Time,Correct,5
DLV000231,ORD000231,18,43,25,Delayed,Correct,4
DLV000232,ORD000232,38,36,0,On-Time,Correct,5
DLV000233,ORD000233,47,88,41,Delayed,Correct,4
DLV000234,ORD000234,40,35,0,On-Time,Correct,5
DLV000235,ORD000235,71,67,0,On-Time,Correct,5
DLV000236,ORD000236,41,41,0,On-Time,Correct,5
DLV000237,ORD000237,59,55,0,On-Time,Correct,5
DLV000238,ORD000238,33,29,0,On-Time,Correct,5
DLV000239,ORD000239,82,81,0,On-Time,Correct,5
DLV000240,ORD000240,51,47,0,On-Time,Correct,5
DLV000241,ORD000241,48,59,11,Delayed,Correct,3
DLV000242,ORD000242,39,37,0,On-Time,Correct,5
DLV000243,ORD000243,42,38,0,On-Time,Correct,5
DLV000244,ORD000244,37,52,15,Delayed,Correct,3
DLV000245,ORD000245,59,58,0,On-Time,Correct,4
DLV000246,ORD000246,44,51,7,Delayed,Correct,2
DLV000247,ORD000247,55,51,0,On-Time,Correct,4
DLV000248,ORD000248,48,47,0,On-Time,Correct,4
DLV000249,ORD000249,76,76,0,On-Time,Correct,4
DLV000250,ORD000250,45,44,0,On-Time,Partial,4
DLV000251,ORD000251,49,72,23,Delayed,Correct,3
DLV000252,ORD000252,41,38,0,On-Time,Correct,5
DLV000253,ORD000253,35,31,0,On-Time,Correct,3
DLV000254,ORD000254,47,43,0,On-Time,Correct,4
DLV000255,ORD000255,53,51,0,On-Time,Correct,4
DLV000256,ORD000256,35,54,19,Delayed,Correct,1
DLV000257,ORD000257,57,57,0,On-Time,Correct,3
DLV000258,ORD000258,47,46,0,On-Time,Correct,3
DLV000259,ORD000259,32,31,0,On-Time,Correct,3
DLV000260,ORD000260,56,53,0,On-Time,Correct,3
DLV000261,ORD000261,51,58,7,Delayed,Correct,1
DLV000262,ORD000262,74,69,0,On-Time,Correct,3
DLV000263,ORD000263,33,30,0,On-Time,Correct,2
DLV000264,ORD000264,30,29,0,On-Time,Correct,3
DLV000265,ORD000265,55,50,0,On-Time,Correct,3
DLV000266,ORD000266,20,18,0,On-Time,Correct,3
DLV000267,ORD000267,49,68,19,Delayed,Correct,4
DLV000268,ORD000268,19,15,0,On-Time,Correct,5
DLV000269,ORD000269,40,57,17,Delayed,Correct,5
DLV000270,ORD000270,34,31,0,On-Time,Correct,5
DLV000271,ORD000271,47,44,0,On-Time,Correct,4
DLV000272,ORD000272,39,37,0,On-Time,Correct,5
DLV000273,ORD000273,86,82,0,On-Time,Correct,3
DLV000274,ORD000274,31,28,0,On-Time,Correct,5
DLV000275,ORD000275,65,64,0,On-Time,Correct,5
DLV000276,ORD000276,15,37,22,Delayed,Correct,3
DLV000277,ORD000277,38,33,0,On-Time,Correct,4
DLV000278,ORD000278,67,63,0,On-Time,Partial,4
DLV000279,ORD000279,53,61,8,Delayed,Correct,2
DLV000280,ORD000280,26,23,0,On-Time,Correct,3
DLV000281,ORD000281,63,84,21,Delayed,Correct,2
DLV000282,ORD000282,87,85,0,On-Time,Correct,4
DLV000283,ORD000283,26,51,25,Delayed,Correct,1
DLV000284,ORD000284,48,60,12,Delayed,Correct,4
DLV000285,ORD000285,45,41,0,On-Time,Correct,5
DLV000286,ORD000286,33,32,0,On-Time,Correct,5
DLV000287,ORD000287,36,44,8,Delayed,Correct,3
DLV000288,ORD000288,34,29,0,On-Time,Correct,4
DLV000289,ORD000289,51,50,0,On-Time,Correct,4
DLV000290,ORD000290,41,36,0,On-Time,Correct,4
DLV000291,ORD000291,19,43,24,Delayed,Correct,3
DLV000292,ORD000292,48,46,0,On-Time,Correct,5
DLV000293,ORD000293,54,59,5,Delayed,Correct,4
DLV000294,ORD000294,23,33,10,Delayed,Correct,4
DLV000295,ORD000295,48,46,0,On-Time,Partial,4
DLV000296,ORD000296,72,69,0,On-Time,Correct,4
DLV000297,ORD000297,51,48,0,On-Time,Correct,3
DLV000298,ORD000298,21,16,0,On-Time,Correct,3
DLV000299,ORD000299,49,59,10,Delayed,Correct,2
DLV000300,ORD000300,38,33,0,On-Time,Correct,2
DLV000301,ORD000301,53,49,0,On-Time,Correct,3
DLV000302,ORD000302,30,38,8,Delayed,Correct,1
DLV000303,ORD000303,39,34,0,On-Time,Correct,4
DLV000304,ORD000304,23,20,0,On-Time,Correct,4
DLV000305,ORD000305,55,69,14,Delayed,Correct,1
DLV000306,ORD000306,70,68,0,On-Time,Correct,3
DLV000307,ORD000307,51,48,0,On-Time,Correct,4
DLV000308,ORD000308,46,69,23,Delayed,Correct,1
DLV000309,ORD000309,36,59,23,Delayed,Correct,2
DLV000310,ORD000310,43,54,11,Delayed,Correct,2
DLV000311,ORD000311,48,46,0,On-Time,Correct,3
DLV000312,ORD000312,33,29,0,On-Time,Correct,5
DLV000313,ORD000313,28,48,20,Delayed,Correct,2
DLV000314,ORD000314,51,49,0,On-Time,Correct,4
DLV000315,ORD000315,49,47,0,On-Time,Correct,5
DLV000316,ORD000316,30,49,19,Delayed,Correct,2
DLV000317,ORD000317,53,70,17,Delayed,Correct,3
DLV000318,ORD000318,24,19,0,On-Time,Correct,4
DLV000319,ORD000319,53,51,0,On-Time,Correct,5
DLV000320,ORD000320,58,75,17,Delayed,Correct,3
DLV000321,ORD000321,88,87,0,On-Time,Correct,5
DLV000322,ORD000322,39,54,15,Delayed,Wrong,3
DLV000323,ORD000323,30,39,9,Delayed,Correct,2
DLV000324,ORD000324,30,28,0,On-Time,Wrong,4
DLV000325,ORD000325,45,55,10,Delayed,Correct,4
DLV000326,ORD000326,39,39,0,On-Time,Correct,5
DLV000327,ORD000327,46,42,0,On-Time,Correct,5
DLV000328,ORD000328,38,33,0,On-Time,Correct,5
DLV000329,ORD000329,55,55,0,On-Time,Correct,5
DLV000330,ORD000330,32,55,23,Delayed,Correct,4
DLV000331,ORD000331,36,33,0,On-Time,Correct,5
DLV000332,ORD000332,40,39,0,On-Time,Correct,5
DLV000333,ORD000333,42,42,0,On-Time,Correct,5
DLV000334,ORD000334,50,46,0,On-Time,Correct,5
DLV000335,ORD000335,40,68,28,Delayed,Correct,3
DLV000336,ORD000336,43,49,6,Delayed,Correct,4
DLV000337,ORD000337,47,69,22,Delayed,Correct,4
DLV000338,ORD000338,73,72,0,On-Time,Correct,5
DLV000339,ORD000339,52,47,0,On-Time,Correct,5
DLV000340,ORD000340,54,51,0,On-Time,Correct,5
DLV000341,ORD000341,75,75,0,On-Time,Correct,5
DLV000342,ORD000342,52,49,0,On-Time,Wrong,5
DLV000343,ORD000343,41,40,0,On-Time,Correct,4
DLV000344,ORD000344,47,43,0,On-Time,Correct,5
DLV000345,ORD000345,19,14,0,On-Time,Correct,5
DLV000346,ORD000346,67,79,12,Delayed,Wrong,3
DLV000347,ORD000347,70,66,0,On-Time,Correct,4
DLV000348,ORD000348,33,42,9,Delayed,Partial,4
DLV000349,ORD000349,31,28,0,On-Time,Correct,5
DLV000350,ORD000350,45,42,0,On-Time,Correct,5
DLV000351,ORD000351,33,65,32,Delayed,Correct,4
DLV000352,ORD000352,57,81,24,Delayed,Correct,2
DLV000353,ORD000353,67,62,0,On-Time,Correct,5
DLV000354,ORD000354,42,39,0,On-Time,Correct,5
DLV000355,ORD000355,57,55,0,On-Time,Correct,5
DLV000356,ORD000356,77,73,0,On-Time,Correct,5
DLV000357,ORD000357,43,40,0,On-Time,Correct,5
DLV000358,ORD000358,35,31,0,On-Time,Correct,5
DLV000359,ORD000359,22,28,6,Delayed,Correct,3
DLV000360,ORD000360,27,24,0,On-Time,Correct,5
DLV000361,ORD000361,90,88,0,On-Time,Correct,5
DLV000362,ORD000362,23,18,0,On-Time,Correct,4
DLV000363,ORD000363,58,53,0,On-Time,Correct,5
DLV000364,ORD000364,61,58,0,On-Time,Correct,4
DLV000365,ORD000365,48,44,0,On-Time,Partial,4
DLV000366,ORD000366,42,80,38,Delayed,Correct,2
DLV000367,ORD000367,49,81,32,Delayed,Correct,3
DLV000368,ORD000368,39,38,0,On-Time,Correct,4
DLV000369,ORD000369,42,40,0,On-Time,Correct,4
DLV000370,ORD000370,47,43,0,On-Time,Correct,4
DLV000371,ORD000371,31,26,0,On-Time,Correct,3
DLV000372,ORD000372,67,64,0,On-Time,Correct,4
DLV000373,ORD000373,55,55,0,On-Time,Correct,4
DLV000374,ORD000374,20,20,0,On-Time,Correct,5
DLV000375,ORD000375,42,40,0,On-Time,Correct,4
DLV000376,ORD000376,19,16,0,On-Time,Correct,5
DLV000377,ORD000377,67,67,0,On-Time,Correct,4
DLV000378,ORD000378,52,48,0,On-Time,Correct,4
DLV000379,ORD000379,17,12,0,On-Time,Correct,5
DLV000380,ORD000380,45,41,0,On-Time,Correct,4
DLV000381,ORD000381,45,43,0,On-Time,Correct,4
DLV000382,ORD000382,36,36,0,On-Time,Correct,5
DLV000383,ORD000383,57,53,0,On-Time,Correct,4
DLV000384,ORD000384,49,45,0,On-Time,Correct,5
DLV000385,ORD000385,38,33,0,On-Time,Correct,4
DLV000386,ORD000386,47,88,41,Delayed,Correct,2
DLV000387,ORD000387,28,28,0,On-Time,Correct,5
DLV000388,ORD000388,69,69,0,On-Time,Correct,4
DLV000389,ORD000389,28,26,0,On-Time,Correct,5
DLV000390,ORD000390,52,59,7,Delayed,Correct,3
DLV000391,ORD000391,59,54,0,On-Time,Correct,3
DLV000392,ORD000392,31,30,0,On-Time,Correct,4
DLV000393,ORD000393,49,79,30,Delayed,Correct,3
DLV000394,ORD000394,30,48,18,Delayed,Correct,3
DLV000395,ORD000395,40,39,0,On-Time,Correct,5
DLV000396,ORD000396,56,56,0,On-Time,Correct,4
DLV000397,ORD000397,16,16,0,On-Time,Correct,4
DLV000398,ORD000398,22,20,0,On-Time,Correct,4
DLV000399,ORD000399,73,72,0,On-Time,Correct,4
DLV000400,ORD000400,29,28,0,On-Time,Correct,4
DLV000401,ORD000401,30,30,0,On-Time,Correct,5
DLV000402,ORD000402,55,52,0,On-Time,Correct,5
DLV000403,ORD000403,21,48,27,Delayed,Correct,3
DLV000404,ORD000404,47,44,0,On-Time,Correct,5
DLV000405,ORD000405,30,49,19,Delayed,Correct,3
DLV000406,ORD000406,28,28,0,On-Time,Correct,4
DLV000407,ORD000407,30,26,0,On-Time,Correct,5
DLV000408,ORD000408,30,28,0,On-Time,Correct,5
DLV000409,ORD000409,57,53,0,On-Time,Correct,5
DLV000410,ORD000410,75,73,0,On-Time,Correct,5
DLV000411,ORD000411,37,34,0,On-Time,Correct,5
DLV000412,ORD000412,29,25,0,On-Time,Correct,4
DLV000413,ORD000413,81,96,15,Delayed,Correct,3
DLV000414,ORD000414,33,30,0,On-Time,Correct,5
DLV000415,ORD000415,41,38,0,On-Time,Correct,5
DLV000416,ORD000416,34,29,0,On-Time,Correct,4
DLV000417,ORD000417,47,42,0,On-Time,Correct,5
DLV000418,ORD000418,57,52,0,On-Time,Correct,5
DLV000419,ORD000419,48,54,6,Delayed,Correct,4
DLV000420,ORD000420,88,88,0,On-Time,Correct,4
DLV000421,ORD000421,37,33,0,On-Time,Correct,5
DLV000422,ORD000422,17,16,0,On-Time,Correct,5
DLV000423,ORD000423,52,47,0,On-Time,Correct,5
DLV000424,ORD000424,55,51,0,On-Time,Correct,5
DLV000425,ORD000425,46,46,0,On-Time,Correct,5
DLV000426,ORD000426,40,37,0,On-Time,Correct,5
DLV000427,ORD000427,55,55,0,On-Time,Correct,5
DLV000428,ORD000428,49,48,0,On-Time,Partial,4
DLV000429,ORD000429,72,70,0,On-Time,Correct,5
DLV000430,ORD000430,56,53,0,On-Time,Correct,5
DLV000431,ORD000431,26,23,0,On-Time,Correct,5
DLV000432,ORD000432,49,48,0,On-Time,Correct,5
DLV000433,ORD000433,56,52,0,On-Time,Correct,4
DLV000434,ORD000434,36,101,65,Delayed,Correct,3
DLV000435,ORD000435,55,50,0,On-Time,Correct,5
DLV000436,ORD000436,60,79,19,Delayed,Correct,3
DLV000437,ORD000437,60,59,0,On-Time,Correct,4
DLV000438,ORD000438,60,60,0,On-Time,Correct,5
DLV000439,ORD000439,27,23,0,On-Time,Correct,4
DLV000440,ORD000440,36,64,28,Delayed,Correct,4
DLV000441,ORD000441,47,46,0,On-Time,Correct,5
DLV000442,ORD000442,51,47,0,On-Time,Correct,4
DLV000443,ORD000443,48,48,0,On-Time,Correct,4
DLV000444,ORD000444,45,40,0,On-Time,Correct,5
DLV000445,ORD000445,41,54,13,Delayed,Correct,3
DLV000446,ORD000446,58,53,0,On-Time,Correct,5
DLV000447,ORD000447,55,55,0,On-Time,Correct,5
DLV000448,ORD000448,44,60,16,Delayed,Correct,4
DLV000449,ORD000449,58,54,0,On-Time,Correct,4
DLV000450,ORD000450,53,48,0,On-Time,Correct,5
DLV000451,ORD000451,25,24,0,On-Time,Correct,5
DLV000452,ORD000452,71,71,0,On-Time,Correct,4
DLV000453,ORD000453,44,40,0,On-Time,Correct,4
DLV000454,ORD000454,57,56,0,On-Time,Correct,4
DLV000455,ORD000455,83,79,0,On-Time,Correct,5
DLV000456,ORD000456,20,19,0,On-Time,Wrong,4
DLV000457,ORD000457,45,41,0,On-Time,Correct,5
DLV000458,ORD000458,58,55,0,On-Time,Correct,5
DLV000459,ORD000459,60,56,0,On-Time,Correct,5
DLV000460,ORD000460,56,55,0,On-Time,Correct,5
DLV000461,ORD000461,39,38,0,On-Time,Partial,4
DLV000462,ORD000462,47,61,14,Delayed,Correct,3
DLV000463,ORD000463,50,45,0,On-Time,Correct,5
DLV000464,ORD000464,51,51,0,On-Time,Correct,4
DLV000465,ORD000465,35,30,0,On-Time,Correct,4
DLV000466,ORD000466,27,27,0,On-Time,Correct,5
DLV000467,ORD000467,41,36,0,On-Time,Correct,5
DLV000468,ORD000468,37,53,16,Delayed,Correct,3
DLV000469,ORD000469,42,41,0,On-Time,Correct,5
DLV000470,ORD000470,59,57,0,On-Time,Partial,5
DLV000471,ORD000471,51,51,0,On-Time,Partial,5
DLV000472,ORD000472,88,86,0,On-Time,Correct,4
DLV000473,ORD000473,69,87,18,Delayed,Correct,4
DLV000474,ORD000474,25,23,0,On-Time,Correct,5
DLV000475,ORD000475,31,29,0,On-Time,Correct,5
DLV000476,ORD000476,87,84,0,On-Time,Correct,5
DLV000477,ORD000477,60,57,0,On-Time,Correct,5
DLV000478,ORD000478,48,47,0,On-Time,Correct,4
