user_id,registration_date,location_city,location_state,age_bracket,user_gender,account_segment,device_type
UUS00068,2025-02-02,Austin,TX,36-45,Male,Intro,App
UUS00069,2026-01-08,San Diego,CA,26-35,Male,Intro,App
UUS00070,2026-03-01,Chicago,IL,36-45,Female,Standard,App
UUS00071,2025-08-04,New York,NY,46-55,Female,Standard,App
UUS00072,2025-04-03,Houston,TX,46-55,Female,Standard,App
UUS00073,2024-10-18,Phoenix,AZ,18-25,Male,Standard,App
UUS00074,2025-12-30,New York,NY,26-35,Male,Standard,App
UUS00075,2024-03-07,Houston,TX,46-55,Male,Standard,App
UUS00076,2025-11-27,San Diego,CA,26-35,Male,Standard,Website
UUS00077,2025-11-20,San Jose,CA,56+,Male,Standard,App
UUS00078,2024-04-12,San Jose,CA,56+,Male,Standard,Website
UUS00079,2024-08-23,Austin,TX,26-35,Male,Standard,App
UUS00080,2025-04-04,New York,NY,56+,Male,Standard,App
UUS00081,2025-06-12,Los Angeles,CA,18-25,Other,Standard,App
UUS00082,2025-02-09,Los Angeles,CA,26-35,Male,Standard,Website
UUS00083,2025-09-06,Dallas,TX,26-35,Female,Standard,App
UUS00084,2025-10-25,Philadelphia,PA,26-35,Female,Standard,Website
UUS00085,2025-02-14,Phoenix,AZ,46-55,Female,Standard,Website
UUS00086,2025-03-22,San Jose,CA,26-35,Male,Standard,App
UUS00087,2025-08-12,Los Angeles,CA,46-55,Male,Elite,App
UUS00088,2024-02-07,Philadelphia,PA,46-55,Female,Standard,App
UUS00089,2025-03-15,New York,NY,36-45,Male,Standard,App
UUS00090,2025-07-05,Phoenix,AZ,18-25,Male,Standard,App
UUS00091,2025-05-09,Phoenix,AZ,26-35,Male,Standard,App
UUS00092,2025-08-30,Seattle,WA,18-25,Female,Intro,App
UUS00093,2025-10-04,Chicago,IL,18-25,Male,Elite,App
UUS00094,2024-03-18,Chicago,IL,26-35,Female,Standard,App
UUS00095,2024-11-29,San Diego,CA,36-45,Male,Standard,App
UUS00096,2024-10-10,Philadelphia,PA,36-45,Female,Standard,App
UUS00097,2024-01-23,Chicago,IL,18-25,Female,Intro,App
UUS00098,2024-12-18,Chicago,IL,18-25,Male,Standard,App
UUS00099,2024-06-29,Philadelphia,PA,26-35,Male,Intro,App
UUS00100,2025-06-06,Philadelphia,PA,26-35,Female,Intro,Website
UUS00101,2025-03-22,New York,NY,46-55,Male,Standard,App
UUS00102,2025-02-23,Austin,TX,46-55,Male,Intro,App
UUS00103,2024-07-03,Austin,TX,46-55,Male,Intro,App
UUS00104,2024-11-02,San Diego,CA,56+,Male,Elite,App
UUS00105,2024-10-24,Austin,TX,26-35,Female,Standard,App
UUS00106,2025-02-28,Phoenix,AZ,18-25,Female,Standard,App
UUS00107,2025-01-31,New York,NY,56+,Male,Elite,App
UUS00108,2024-11-01,Houston,TX,26-35,Female,Intro,App
UUS00109,2025-11-02,New York,NY,56+,Male,Standard,App
UUS00110,2025-12-20,San Jose,CA,18-25,Female,Standard,App
UUS00111,2025-06-10,Los Angeles,CA,36-45,Female,Standard,App
UUS00112,2024-03-07,New York,NY,36-45,Female,Elite,App
UUS00113,2024-10-06,Los Angeles,CA,46-55,Female,Standard,App
UUS00114,2024-05-04,Houston,TX,26-35,Male,Standard,App
UUS00115,2025-05-07,Los Angeles,CA,18-25,Female,Elite,Website
UUS00116,2026-03-05,Austin,TX,36-45,Male,Standard,App
UUS00117,2024-05-04,San Jose,CA,46-55,Male,Elite,Website
UUS00118,2025-02-15,Phoenix,AZ,56+,Male,Standard,Website
UUS00119,2026-01-27,San Diego,CA,46-55,Male,Elite,App
UUS00120,2025-01-20,Seattle,WA,26-35,Male,Standard,App
UUS00121,2024-06-11,San Jose,CA,46-55,Male,Standard,Website
UUS00122,2024-02-07,San Jose,CA,26-35,Female,Elite,App
UUS00123,2025-11-09,Phoenix,AZ,26-35,Female,Standard,App
UUS00124,2024-10-23,Chicago,IL,36-45,Male,Elite,App
UUS00125,2025-11-11,San Diego,CA,26-35,Male,Intro,App
UUS00126,2024-12-06,Austin,TX,46-55,Female,Standard,App
UUS00127,2024-02-01,Seattle,WA,26-35,Female,Standard,Website
UUS00128,2025-04-23,San Diego,CA,36-45,Female,Standard,App
UUS00129,2024-09-08,San Diego,CA,46-55,Female,Intro,Website
UUS00130,2025-10-26,Los Angeles,CA,18-25,Male,Standard,App
UUS00131,2024-05-11,San Jose,CA,26-35,Female,Standard,Website
UUS00132,2025-05-24,Dallas,TX,18-25,Female,Standard,Website
UUS00133,2026-02-05,Houston,TX,26-35,Male,Standard,Website
UUS00134,2024-03-27,Phoenix,AZ,18-25,Female,Standard,App
UUS00135,2025-10-22,Philadelphia,PA,26-35,Female,Elite,App
UUS00136,2026-03-18,Houston,TX,26-35,Male,Intro,Website
UUS00137,2025-08-04,Seattle,WA,26-35,Male,Elite,App
UUS00138,2024-03-01,San Diego,CA,36-45,Female,Standard,App
UUS00139,2025-05-16,Austin,TX,18-25,Female,Elite,Website
UUS00140,2025-09-18,New York,NY,26-35,Female,Intro,App
UUS00141,2025-03-08,San Jose,CA,18-25,Female,Standard,App
UUS00142,2026-03-18,Philadelphia,PA,36-45,Female,Elite,Website
UUS00143,2024-08-14,Seattle,WA,56+,Female,Standard,App
UUS00144,2024-07-10,New York,NY,46-55,Female,Standard,App
UUS00145,2025-07-15,Los Angeles,CA,26-35,Female,Standard,App
UUS00146,2025-04-10,New York,NY,36-45,Female,Elite,App
UUS00147,2025-04-10,Philadelphia,PA,36-45,Male,Standard,App
UUS00148,2026-03-03,Austin,TX,26-35,Male,Standard,Website
UUS00149,2026-01-19,Chicago,IL,36-45,Female,Intro,Website
UUS00150,2024-05-29,San Jose,CA,26-35,Male,Standard,Website
UUS00151,2025-10-09,Phoenix,AZ,18-25,Female,Standard,Website
UUS00152,2024-07-08,Los Angeles,CA,26-35,Female,Standard,App
UUS00153,2024-06-10,Boston,MA,26-35,Female,Intro,App
UUS00154,2024-01-19,Austin,TX,46-55,Male,Elite,App
UUS00155,2025-02-15,Philadelphia,PA,36-45,Male,Intro,Website
UUS00156,2025-04-25,Chicago,IL,18-25,Male,Elite,App
UUS00157,2024-12-06,Philadelphia,PA,18-25,Other,Intro,App
UUS00158,2026-03-13,Seattle,WA,18-25,Female,Elite,App
UUS00159,2024-06-03,San Jose,CA,26-35,Female,Elite,App
UUS00160,2024-11-27,Los Angeles,CA,26-35,Female,Standard,App
UUS00161,2026-03-22,Dallas,TX,26-35,Female,Standard,App
UUS00162,2025-08-19,Los Angeles,CA,36-45,Male,Standard,App
UUS00163,2024-07-07,Los Angeles,CA,26-35,Male,Standard,Website
UUS00164,2025-03-16,San Jose,CA,26-35,Female,Standard,App
UUS00165,2024-11-25,Philadelphia,PA,26-35,Male,Standard,App
UUS00166,2024-06-30,Los Angeles,CA,26-35,Male,Intro,App
UUS00167,2025-09-01,Houston,TX,36-45,Female,Standard,App
UUS00168,2025-05-22,Los Angeles,CA,36-45,Female,Standard,Website
UUS00169,2026-01-26,Phoenix,AZ,36-45,Male,Elite,App
UUS00170,2024-01-26,Chicago,IL,26-35,Female,Intro,App
UUS00171,2023-12-08,Houston,TX,56+,Female,Elite,Website
UUS00172,2026-02-07,San Diego,CA,18-25,Male,Standard,App
UUS00173,2025-04-02,Seattle,WA,18-25,Female,Intro,App
UUS00174,2025-08-23,Phoenix,AZ,26-35,Female,Standard,App
UUS00175,2024-12-14,Los Angeles,CA,26-35,Female,Elite,App
UUS00176,2025-07-03,San Diego,CA,56+,Male,Elite,Website
UUS00177,2025-06-25,Chicago,IL,36-45,Female,Elite,App
UUS00178,2025-05-23,New York,NY,36-45,Female,Standard,App
UUS00179,2025-10-08,Los Angeles,CA,26-35,Male,Elite,App
UUS00180,2024-04-29,Chicago,IL,46-55,Female,Standard,Website
UUS00181,2025-06-23,San Diego,CA,36-45,Male,Standard,App
UUS00182,2026-02-10,Houston,TX,36-45,Male,Standard,App
UUS00183,2025-05-26,Dallas,TX,18-25,Male,Standard,App
UUS00184,2026-01-22,Chicago,IL,56+,Female,Standard,App
UUS00185,2025-08-31,Austin,TX,26-35,Male,Elite,App
UUS00186,2024-12-23,Los Angeles,CA,56+,Male,Intro,App
UUS00187,2024-05-12,Los Angeles,CA,56+,Male,Standard,App
UUS00188,2024-11-28,Seattle,WA,46-55,Female,Elite,App
UUS00189,2024-09-01,San Diego,CA,26-35,Female,Standard,App
UUS00190,2024-02-08,Dallas,TX,26-35,Male,Elite,App
UUS00191,2025-06-05,Philadelphia,PA,18-25,Female,Standard,App
UUS00192,2026-01-12,Philadelphia,PA,46-55,Female,Standard,App
UUS00193,2025-12-25,Phoenix,AZ,26-35,Male,Elite,App
UUS00194,2024-06-24,San Jose,CA,36-45,Female,Standard,App
UUS00195,2024-07-19,Boston,MA,26-35,Male,Intro,App
UUS00196,2025-08-30,Seattle,WA,36-45,Male,Standard,App
UUS00197,2024-11-18,Austin,TX,26-35,Female,Elite,Website
UUS00198,2024-12-20,Dallas,TX,46-55,Other,Intro,App
UUS00199,2025-01-21,Los Angeles,CA,18-25,Male,Elite,Website
UUS00200,2025-09-30,Phoenix,AZ,36-45,Female,Standard,App
UUS00201,2025-12-25,Boston,MA,26-35,Female,Standard,Website
UUS00202,2025-09-19,Dallas,TX,26-35,Female,Standard,App
UUS00203,2024-03-23,Dallas,TX,26-35,Female,Elite,App
UUS00204,2024-11-01,Los Angeles,CA,18-25,Male,Standard,App
UUS00205,2025-06-03,Chicago,IL,36-45,Female,Intro,App
UUS00206,2024-07-21,Dallas,TX,46-55,Female,Standard,App
UUS00207,2025-03-13,Austin,TX,46-55,Female,Elite,App
UUS00208,2024-03-12,Dallas,TX,36-45,Male,Standard,App
UUS00209,2025-12-15,Houston,TX,18-25,Female,Standard,App
UUS00210,2024-07-16,Seattle,WA,46-55,Female,Standard,App
UUS00211,2025-10-23,Phoenix,AZ,18-25,Female,Standard,App
UUS00212,2025-01-27,New York,NY,46-55,Female,Standard,App
UUS00213,2025-05-12,San Diego,CA,56+,Female,Elite,App
UUS00214,2025-11-21,Phoenix,AZ,46-55,Male,Elite,Website
UUS00215,2024-02-06,San Diego,CA,26-35,Female,Standard,App
UUS00216,2024-08-10,Chicago,IL,26-35,Female,Standard,App
UUS00217,2025-10-03,San Jose,CA,26-35,Female,Standard,App
UUS00218,2026-03-11,San Jose,CA,26-35,Male,Standard,App
UUS00219,2024-02-12,Philadelphia,PA,36-45,Female,Standard,App
UUS00220,2025-01-20,Boston,MA,56+,Male,Intro,App
UUS00221,2026-02-08,Chicago,IL,26-35,Female,Standard,App
UUS00222,2024-05-21,Los Angeles,CA,46-55,Female,Standard,App
UUS00223,2025-06-01,New York,NY,26-35,Male,Standard,App
UUS00224,2025-03-16,New York,NY,36-45,Male,Standard,App
UUS00225,2025-04-17,Dallas,TX,26-35,Female,Intro,App
UUS00226,2025-06-29,Seattle,WA,18-25,Male,Standard,Website
UUS00227,2024-10-24,New York,NY,18-25,Female,Intro,App
UUS00228,2024-11-06,Austin,TX,26-35,Female,Standard,App
UUS00229,2024-06-02,Chicago,IL,36-45,Female,Elite,App
UUS00230,2024-05-20,Los Angeles,CA,36-45,Male,Elite,App
UUS00231,2024-04-04,Los Angeles,CA,26-35,Male,Intro,App
UUS00232,2024-09-24,Houston,TX,18-25,Male,Elite,Website
UUS00233,2024-09-17,Philadelphia,PA,36-45,Male,Standard,App
UUS00234,2024-10-26,Phoenix,AZ,36-45,Female,Standard,App
UUS00235,2025-06-15,San Diego,CA,26-35,Male,Standard,App
UUS00236,2026-01-02,San Jose,CA,36-45,Male,Intro,Website
UUS00237,2025-05-28,New York,NY,18-25,Female,Standard,App
UUS00238,2024-04-07,San Diego,CA,26-35,Female,Standard,App
UUS00239,2025-07-04,San Diego,CA,26-35,Female,Standard,Website
UUS00240,2024-10-18,Los Angeles,CA,18-25,Male,Elite,App
UUS00241,2024-10-05,Dallas,TX,36-45,Male,Standard,App
UUS00242,2025-05-17,Seattle,WA,26-35,Female,Standard,App
UUS00243,2024-05-01,Houston,TX,46-55,Male,Intro,Website
UUS00244,2025-12-01,Chicago,IL,46-55,Female,Intro,App
UUS00245,2024-04-13,Dallas,TX,26-35,Male,Elite,App
UUS00246,2024-01-19,Houston,TX,26-35,Female,Intro,App
UUS00247,2025-03-05,Houston,TX,26-35,Female,Standard,App
UUS00248,2024-01-29,Austin,TX,46-55,Female,Intro,App
UUS00249,2026-04-06,Chicago,IL,46-55,Female,Elite,App
UUS00250,2026-04-16,Austin,TX,36-45,Male,Standard,Website
UUS00251,2025-05-10,Phoenix,AZ,18-25,Female,Elite,App
UUS00252,2024-10-05,San Diego,CA,18-25,Other,Standard,App
UUS00253,2024-10-06,Boston,MA,36-45,Female,Elite,Website
UUS00254,2024-01-27,Austin,TX,26-35,Male,Standard,App
UUS00255,2025-02-09,Boston,MA,26-35,Male,Standard,Website
UUS00256,2026-03-23,New York,NY,18-25,Male,Intro,App
UUS00257,2024-11-12,Dallas,TX,26-35,Female,Standard,App
UUS00258,2024-08-26,San Jose,CA,46-55,Male,Intro,App
UUS00259,2026-04-15,Austin,TX,18-25,Female,Intro,App
UUS00260,2025-11-27,Phoenix,AZ,36-45,Male,Standard,App
UUS00261,2024-08-07,Chicago,IL,36-45,Female,Elite,App
UUS00262,2025-02-11,Philadelphia,PA,18-25,Female,Standard,App
UUS00263,2026-01-21,Austin,TX,56+,Female,Standard,App
UUS00264,2024-06-14,Phoenix,AZ,46-55,Male,Standard,App
UUS00265,2024-04-05,Austin,TX,26-35,Female,Standard,App
UUS00266,2025-09-04,Dallas,TX,26-35,Other,Elite,Website
UUS00267,2026-03-17,San Jose,CA,46-55,Female,Standard,Website
UUS00268,2024-07-29,Seattle,WA,26-35,Female,Standard,App
UUS00269,2025-08-16,Chicago,IL,26-35,Other,Intro,App
UUS00270,2024-07-19,Seattle,WA,46-55,Female,Intro,App
UUS00271,2025-02-05,San Diego,CA,36-45,Female,Elite,App
UUS00272,2024-12-28,New York,NY,26-35,Female,Intro,App
UUS00273,2024-12-18,San Diego,CA,56+,Female,Standard,App
UUS00274,2024-12-15,Seattle,WA,26-35,Male,Elite,Website
UUS00275,2026-01-10,Houston,TX,26-35,Male,Elite,App
UUS00276,2025-04-07,Chicago,IL,26-35,Male,Standard,App
UUS00277,2025-01-05,Houston,TX,56+,Male,Standard,App
UUS00278,2025-03-10,Los Angeles,CA,36-45,Male,Standard,Website
UUS00279,2025-06-28,New York,NY,36-45,Male,Standard,App
UUS00280,2024-02-05,Chicago,IL,26-35,Female,Elite,Website
UUS00281,2025-11-14,San Diego,CA,26-35,Male,Standard,Website
UUS00282,2026-04-04,Dallas,TX,46-55,Other,Intro,Website
UUS00283,2024-02-07,Los Angeles,CA,26-35,Female,Intro,App
UUS00284,2024-09-05,Philadelphia,PA,18-25,Male,Standard,App
UUS00285,2025-02-12,Los Angeles,CA,26-35,Female,Intro,App
UUS00286,2026-02-03,Chicago,IL,26-35,Male,Standard,App
UUS00287,2024-06-20,Philadelphia,PA,36-45,Female,Intro,App
UUS00288,2026-04-11,Philadelphia,PA,26-35,Male,Intro,App
UUS00289,2024-10-05,Austin,TX,46-55,Male,Elite,Website
UUS00290,2024-07-13,Dallas,TX,56+,Male,Standard,App
UUS00291,2025-05-30,Austin,TX,36-45,Male,Intro,App
UUS00292,2025-09-22,Austin,TX,36-45,Female,Intro,App
UUS00293,2025-08-17,San Jose,CA,26-35,Male,Intro,App
UUS00294,2025-01-07,Chicago,IL,18-25,Female,Elite,App
UUS00295,2025-05-30,Los Angeles,CA,56+,Female,Standard,App
UUS00296,2024-03-05,San Diego,CA,46-55,Female,Intro,Website
UUS00297,2024-12-09,New York,NY,26-35,Male,Standard,App
UUS00298,2026-01-01,Austin,TX,46-55,Male,Intro,App
UUS00299,2024-05-04,Austin,TX,56+,Male,Standard,App
UUS00300,2025-04-11,Seattle,WA,26-35,Male,Elite,App
UUS00301,2024-08-14,Chicago,IL,18-25,Female,Elite,App
UUS00302,2024-09-06,Seattle,WA,18-25,Male,Standard,Website
UUS00303,2024-05-15,San Jose,CA,18-25,Male,Standard,App
UUS00304,2025-12-06,Chicago,IL,56+,Female,Intro,App
UUS00305,2026-02-17,Houston,TX,18-25,Female,Standard,App
UUS00306,2026-01-21,Los Angeles,CA,26-35,Female,Intro,Website
UUS00307,2025-08-14,Dallas,TX,26-35,Female,Intro,App
UUS00308,2025-09-17,San Jose,CA,56+,Female,Intro,App
UUS00309,2024-07-14,Dallas,TX,26-35,Male,Elite,Website
UUS00310,2024-03-12,Chicago,IL,36-45,Female,Standard,App
UUS00311,2025-01-19,Chicago,IL,26-35,Male,Standard,App
UUS00312,2024-09-08,San Jose,CA,26-35,Male,Standard,App
UUS00313,2024-05-29,Houston,TX,26-35,Male,Elite,App
UUS00314,2025-11-29,Phoenix,AZ,26-35,Male,Standard,App
UUS00315,2025-08-05,Seattle,WA,18-25,Female,Standard,App
UUS00316,2026-02-27,Philadelphia,PA,18-25,Male,Elite,Website
UUS00317,2024-07-16,Dallas,TX,56+,Female,Standard,App
UUS00318,2024-01-26,Boston,MA,26-35,Female,Elite,App
UUS00319,2024-11-13,Dallas,TX,36-45,Female,Intro,App
UUS00320,2023-12-21,Philadelphia,PA,26-35,Male,Standard,App
UUS00321,2024-07-26,Los Angeles,CA,36-45,Male,Standard,App
UUS00322,2025-11-14,Philadelphia,PA,56+,Male,Elite,App
UUS00323,2025-04-13,Houston,TX,26-35,Female,Standard,App
UUS00324,2024-07-04,Los Angeles,CA,36-45,Male,Elite,App
UUS00325,2024-06-20,Philadelphia,PA,26-35,Male,Standard,App
UUS00326,2025-01-07,Chicago,IL,46-55,Male,Intro,Website
UUS00327,2024-10-19,Austin,TX,18-25,Female,Intro,App
UUS00328,2025-12-15,San Diego,CA,36-45,Female,Standard,App
UUS00329,2025-12-21,Phoenix,AZ,26-35,Female,Intro,App
UUS00330,2024-03-09,Philadelphia,PA,18-25,Male,Intro,App
UUS00331,2026-02-17,Philadelphia,PA,26-35,Female,Elite,App
UUS00332,2025-02-07,Los Angeles,CA,46-55,Female,Elite,Website
UUS00333,2026-02-18,Seattle,WA,18-25,Female,Intro,Website
UUS00334,2025-06-15,San Diego,CA,36-45,Female,Standard,App
UUS00335,2024-01-28,San Jose,CA,26-35,Male,Standard,App
UUS00336,2025-12-31,San Diego,CA,26-35,Female,Intro,App
UUS00337,2024-10-12,Houston,TX,26-35,Other,Standard,Website
UUS00338,2024-05-03,San Diego,CA,26-35,Female,Standard,App
UUS00339,2025-11-17,Philadelphia,PA,46-55,Female,Standard,App
UUS00340,2026-01-10,Austin,TX,18-25,Female,Standard,App
UUS00341,2025-07-23,Seattle,WA,26-35,Male,Standard,App
UUS00342,2025-07-07,Houston,TX,46-55,Male,Standard,Website
UUS00343,2024-10-16,San Diego,CA,36-45,Female,Intro,App
UUS00344,2024-04-27,Philadelphia,PA,36-45,Male,Standard,App
UUS00345,2024-11-22,Boston,MA,26-35,Male,Standard,App
UUS00346,2024-09-06,Philadelphia,PA,26-35,Male,Elite,App
UUS00347,2024-10-19,Philadelphia,PA,36-45,Male,Elite,Website
UUS00348,2024-06-28,Philadelphia,PA,56+,Female,Intro,App
UUS00349,2026-01-05,New York,NY,46-55,Male,Elite,App
UUS00350,2024-05-09,New York,NY,46-55,Male,Standard,App
UUS00351,2025-02-06,Boston,MA,26-35,Female,Standard,App
UUS00352,2024-01-01,Dallas,TX,56+,Male,Standard,App
UUS00353,2025-05-23,New York,NY,26-35,Male,Intro,App
UUS00354,2024-03-12,Seattle,WA,36-45,Male,Standard,Website
UUS00355,2024-11-20,Dallas,TX,36-45,Female,Standard,Website
UUS00356,2025-06-05,Austin,TX,26-35,Male,Standard,App
UUS00357,2026-02-14,Houston,TX,26-35,Female,Intro,App
UUS00358,2024-12-28,New York,NY,26-35,Female,Elite,Website
UUS00359,2025-12-15,Boston,MA,26-35,Male,Standard,App
UUS00360,2025-11-12,Dallas,TX,26-35,Other,Standard,App
UUS00361,2025-12-08,San Jose,CA,26-35,Male,Standard,Website
UUS00362,2024-05-28,San Diego,CA,18-25,Male,Intro,Website
UUS00363,2025-10-23,Boston,MA,26-35,Female,Intro,App
UUS00364,2024-09-12,San Jose,CA,18-25,Male,Standard,App
UUS00365,2024-01-01,Houston,TX,18-25,Female,Standard,App
UUS00366,2024-12-15,Philadelphia,PA,18-25,Female,Elite,App
UUS00367,2025-07-31,Chicago,IL,26-35,Female,Elite,App
UUS00368,2025-01-05,Philadelphia,PA,18-25,Male,Intro,App
UUS00369,2025-04-05,Philadelphia,PA,26-35,Female,Elite,Website
UUS00370,2026-03-27,Phoenix,AZ,26-35,Male,Standard,App
UUS00371,2024-03-01,Los Angeles,CA,46-55,Female,Standard,App
UUS00372,2025-08-12,Los Angeles,CA,56+,Male,Standard,Website
UUS00373,2025-06-10,Austin,TX,26-35,Female,Elite,Website
UUS00374,2024-11-12,San Jose,CA,36-45,Female,Elite,App
UUS00375,2024-10-14,Los Angeles,CA,18-25,Female,Elite,Website
UUS00376,2025-03-12,Austin,TX,46-55,Female,Standard,App
UUS00377,2025-07-25,Seattle,WA,18-25,Female,Elite,App
UUS00378,2024-11-11,Boston,MA,26-35,Female,Elite,App
UUS00379,2024-07-05,Seattle,WA,46-55,Male,Elite,Website
UUS00380,2026-02-11,Philadelphia,PA,46-55,Female,Standard,Website
UUS00381,2026-01-07,Boston,MA,36-45,Male,Intro,Website
UUS00382,2024-10-07,San Jose,CA,26-35,Female,Standard,App
UUS00383,2025-03-26,Los Angeles,CA,46-55,Male,Standard,App
UUS00384,2024-04-02,Houston,TX,46-55,Male,Intro,App
UUS00385,2024-10-29,Phoenix,AZ,46-55,Male,Elite,App
UUS00386,2024-08-02,San Jose,CA,46-55,Female,Elite,Website
UUS00387,2025-03-15,San Diego,CA,26-35,Female,Standard,App
UUS00388,2025-11-27,Boston,MA,26-35,Male,Standard,App
UUS00389,2025-05-29,Chicago,IL,26-35,Male,Standard,App
UUS00390,2024-01-04,Philadelphia,PA,36-45,Female,Standard,Website
UUS00391,2024-10-04,San Jose,CA,18-25,Male,Intro,App
UUS00392,2025-04-04,San Diego,CA,26-35,Female,Intro,App
UUS00393,2025-09-13,Philadelphia,PA,26-35,Other,Standard,Website
UUS00394,2025-10-20,Austin,TX,26-35,Female,Standard,App
UUS00395,2025-02-26,Phoenix,AZ,26-35,Male,Standard,App
UUS00396,2026-01-23,Seattle,WA,46-55,Female,Standard,App
UUS00397,2024-10-03,Dallas,TX,56+,Male,Standard,App
UUS00398,2024-10-27,Dallas,TX,26-35,Female,Standard,App
UUS00399,2025-09-13,New York,NY,36-45,Female,Standard,App
UUS00400,2024-02-10,Los Angeles,CA,18-25,Female,Standard,App
UUS00401,2025-12-25,Dallas,TX,26-35,Female,Intro,Website
UUS00402,2026-01-28,Houston,TX,26-35,Male,Elite,App
UUS00403,2025-04-01,Philadelphia,PA,46-55,Female,Standard,App
UUS00404,2024-10-08,Philadelphia,PA,18-25,Other,Standard,Website
UUS00405,2025-01-09,Chicago,IL,18-25,Male,Elite,App
